BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
OK,V,2008,150.0
OK,H,2008,3366.0
OK,D,2008,41.0
OK,V,2009,71.0
OK,H,2009,1589.0
OK,D,2009,19.0
OK,V,2010,17.0
OK,H,2010,379.0
OK,D,2010,5.0
OK,V,2011,326.0
OK,H,2011,7298.0
OK,D,2011,89.0
OK,V,2012,0.0
OK,H,2012,0.0
OK,D,2012,0.0
OK,V,2013,0.0
OK,H,2013,0.0
OK,D,2013,0.0
OK,V,2014,0.0
OK,H,2014,0.0
OK,D,2014,0.0
OK,V,2015,0.0
OK,H,2015,0.0
OK,D,2015,0.0
OK,V,2016,0.0
OK,H,2016,0.0
OK,D,2016,0.0
OK,V,2004,54.0
OK,H,2004,1209.0
OK,D,2004,15.0
OK,V,2005,46.0
OK,H,2005,1033.0
OK,D,2005,13.0
OK,V,2006,57.0
OK,H,2006,1283.0
OK,D,2006,16.0
OK,V,2007,13.0
OK,H,2007,288.0
OK,D,2007,3.0
OK,V,2020,0.0
OK,H,2020,0.0
OK,D,2020,0.0
OK,V,2017,0.0
OK,H,2017,0.0
OK,D,2017,0.0
OK,V,2018,0.0
OK,H,2018,0.0
OK,D,2018,0.0
OK,V,2019,0.0
OK,H,2019,0.0
OK,D,2019,0.0
OR,V,2009,0.0
OR,D,2009,1.0
OR,H,2009,0.0
OR,V,2010,0.0
OR,D,2010,1.0
OR,H,2010,0.0
OR,V,2011,0.0
OR,D,2011,1.0
OR,H,2011,0.0
OR,V,2012,0.0
OR,D,2012,0.0
OR,H,2012,0.0
OR,V,2013,0.0
OR,D,2013,0.0
OR,H,2013,0.0
OR,V,2014,0.0
OR,D,2014,0.0
OR,H,2014,0.0
OR,V,2015,0.0
OR,D,2015,1.0
OR,H,2015,0.0
OR,V,2016,0.0
OR,D,2016,2.0
OR,H,2016,0.0
OR,V,2017,0.0
OR,D,2017,0.0
OR,H,2017,0.0
OR,V,2018,0.0
OR,D,2018,0.0
OR,H,2018,0.0
OR,V,2019,0.0
OR,D,2019,0.0
OR,H,2019,0.0
OR,V,2020,0.0
OR,D,2020,0.0
OR,H,2020,0.0
PA,V,1992,0.0
PA,H,1992,0.0
PA,D,1992,0.0
PA,V,1996,5.0
PA,H,1996,762.0
PA,D,1996,0.0
PA,V,1993,1.0
PA,H,1993,99.0
PA,D,1993,0.0
PA,V,1994,0.0
PA,H,1994,50.0
PA,D,1994,0.0
PA,V,1995,0.0
PA,H,1995,0.0
PA,D,1995,0.0
PA,V,2000,81.0
PA,H,2000,12096.0
PA,D,2000,0.0
PA,V,1997,6.0
PA,H,1997,894.0
PA,D,1997,0.0
PA,V,1998,0.0
PA,H,1998,0.0
PA,D,1998,0.0
PA,V,1999,15.0
PA,H,1999,2231.0
PA,D,1999,0.0
PA,V,1989,13.0
PA,H,1989,1952.0
PA,D,1989,0.0
PA,V,1990,2.0
PA,H,1990,298.0
PA,D,1990,0.0
PA,V,1991,5.0
PA,H,1991,695.0
PA,D,1991,0.0
PA,V,2006,21.0
PA,H,2006,3075.0
PA,D,2006,0.0
PA,V,2007,20.0
PA,H,2007,2930.0
PA,D,2007,0.0
PA,V,2008,20.0
PA,H,2008,2911.0
PA,D,2008,0.0
PA,V,2009,12.0
PA,H,2009,1713.0
PA,D,2009,0.0
PA,V,2010,0.0
PA,H,2010,0.0
PA,D,2010,0.0
PA,V,2011,116.0
PA,H,2011,17199.0
PA,D,2011,0.0
PA,V,2012,7.0
PA,H,2012,1100.0
PA,D,2012,0.0
PA,V,2013,0.0
PA,H,2013,0.0
PA,D,2013,0.0
PA,V,2001,27.0
PA,H,2001,4073.0
PA,D,2001,0.0
PA,V,2002,5.0
PA,H,2002,725.0
PA,D,2002,0.0
PA,V,2003,11.0
PA,H,2003,1596.0
PA,D,2003,0.0
PA,V,2004,12.0
PA,H,2004,1778.0
PA,D,2004,0.0
PA,V,2005,16.0
PA,H,2005,2411.0
PA,D,2005,0.0
PA,V,2019,5.0
PA,H,2019,709.0
PA,D,2019,0.0
PA,V,2020,0.0
PA,H,2020,0.0
PA,D,2020,0.0
PA,V,2016,0.0
PA,H,2016,0.0
PA,D,2016,0.0
PA,V,2017,3.0
PA,H,2017,392.0
PA,D,2017,0.0
PA,V,2014,39.0
PA,H,2014,5744.0
PA,D,2014,0.0
PA,V,2015,16.0
PA,H,2015,2414.0
PA,D,2015,0.0
PA,V,2018,4.0
PA,H,2018,619.0
PA,D,2018,0.0
SD,V,2009,17.0
SD,V,2010,13.0
SD,V,2012,4.0
SD,V,2013,0.0
SD,V,2014,0.0
SD,V,2011,53.0
SD,V,2020,0.0
SD,V,2016,0.0
SD,V,2017,0.0
SD,V,2018,0.0
SD,V,2015,0.0
SD,V,2019,4.0
TN,V,2006,0.0
TN,V,2007,0.0
TN,V,2008,0.0
TN,V,2010,0.0
TN,V,2011,797.0
TN,V,2012,0.0
TN,V,2009,25.0
TN,V,2005,39.0
TN,V,2018,0.0
TN,V,2019,0.0
TN,V,2020,0.0
TN,V,2016,0.0
TN,V,2013,62.0
TN,V,2014,0.0
TN,V,2015,0.0
TN,V,2017,0.0
TX,V,2016,0.0
TX,D,2016,0.0
TX,H,2016,0.0
TX,V,2018,0.0
TX,D,2018,0.0
TX,H,2018,0.0
TX,V,2019,0.0
TX,D,2019,0.0
TX,H,2019,0.0
TX,V,2020,0.0
TX,D,2020,0.0
TX,H,2020,0.0
TX,V,2017,0.0
TX,D,2017,0.0
TX,H,2017,0.0
TX,V,2013,57.0
TX,D,2013,20.0
TX,H,2013,800.0
TX,V,2014,86.0
TX,D,2014,30.0
TX,H,2014,1211.0
TX,V,2015,0.0
TX,D,2015,0.0
TX,H,2015,0.0
TX,V,1989,1255.0
TX,D,1989,439.0
TX,H,1989,17605.0
TX,V,1990,147.0
TX,D,1990,51.0
TX,H,1990,2060.0
TX,V,1991,0.0
TX,D,1991,0.0
TX,H,1991,0.0
TX,V,1992,0.0
TX,D,1992,0.0
TX,H,1992,0.0
TX,V,1993,52.0
TX,D,1993,18.0
TX,H,1993,732.0
TX,V,1994,101.0
TX,D,1994,35.0
TX,H,1994,1417.0
TX,V,1995,389.0
TX,D,1995,136.0
TX,H,1995,5456.0
TX,V,1996,0.0
TX,D,1996,0.0
TX,H,1996,0.0
TX,V,1997,191.0
TX,D,1997,67.0
TX,H,1997,2674.0
TX,V,1998,129.0
TX,D,1998,45.0
TX,H,1998,1814.0
TX,V,1999,0.0
TX,D,1999,0.0
TX,H,1999,0.0
TX,V,2000,121.0
TX,D,2000,42.0
TX,H,2000,1701.0
TX,V,2001,203.0
TX,D,2001,71.0
TX,H,2001,2852.0
TX,V,2002,135.0
TX,D,2002,47.0
TX,H,2002,1893.0
TX,V,2003,182.0
TX,D,2003,64.0
TX,H,2003,2548.0
TX,V,2004,238.0
TX,D,2004,83.0
TX,H,2004,3343.0
TX,V,2005,168.0
TX,D,2005,59.0
TX,H,2005,2363.0
TX,V,2006,0.0
TX,D,2006,0.0
TX,H,2006,0.0
TX,V,2007,141.0
TX,D,2007,49.0
TX,H,2007,1980.0
TX,V,2008,723.0
TX,D,2008,253.0
TX,H,2008,10144.0
TX,V,2009,395.0
TX,D,2009,138.0
TX,H,2009,5543.0
TX,V,2010,98.0
TX,D,2010,34.0
TX,H,2010,1375.0
TX,V,2011,2909.0
TX,D,2011,1018.0
TX,H,2011,40801.0
TX,V,2012,47.0
TX,D,2012,16.0
TX,H,2012,656.0
UT,D,2000,1035.0
UT,H,2000,72.0
UT,V,2000,518.0
UT,D,2001,269.0
UT,H,2001,19.0
UT,V,2001,135.0
UT,D,2002,0.0
UT,H,2002,0.0
UT,V,2002,0.0
UT,D,2003,137.0
UT,H,2003,9.0
UT,V,2003,69.0
UT,D,2004,278.0
UT,H,2004,19.0
UT,V,2004,139.0
UT,D,2005,277.0
UT,H,2005,19.0
UT,V,2005,139.0
UT,D,2006,488.0
UT,H,2006,34.0
UT,V,2006,244.0
UT,D,2007,216.0
UT,H,2007,15.0
UT,V,2007,108.0
UT,D,2008,243.0
UT,H,2008,17.0
UT,V,2008,121.0
UT,D,2009,125.0
UT,H,2009,9.0
UT,V,2009,62.0
UT,D,2010,192.0
UT,H,2010,13.0
UT,V,2010,96.0
UT,D,2011,973.0
UT,H,2011,68.0
UT,V,2011,487.0
UT,D,2012,330.0
UT,H,2012,23.0
UT,V,2012,165.0
UT,D,2013,114.0
UT,H,2013,8.0
UT,V,2013,57.0
UT,D,2014,151.0
UT,H,2014,10.0
UT,V,2014,76.0
UT,D,2015,29.0
UT,H,2015,2.0
UT,V,2015,15.0
UT,D,2016,0.0
UT,H,2016,0.0
UT,V,2016,0.0
UT,D,2017,0.0
UT,H,2017,0.0
UT,V,2017,0.0
UT,D,2018,0.0
UT,H,2018,0.0
UT,V,2018,0.0
UT,D,2019,0.0
UT,H,2019,0.0
UT,V,2019,0.0
UT,D,2020,83.0
UT,H,2020,6.0
UT,V,2020,42.0
VA,V,1989,296.0
VA,H,1989,170.0
VA,V,1990,43.0
VA,H,1990,24.0
VA,V,1991,43.0
VA,H,1991,24.0
VA,V,1992,169.0
VA,H,1992,98.0
VA,V,1993,173.0
VA,H,1993,100.0
VA,V,1994,28.0
VA,H,1994,16.0
VA,V,1995,128.0
VA,H,1995,73.0
VA,V,1996,0.0
VA,H,1996,0.0
VA,V,1997,238.0
VA,H,1997,137.0
VA,V,1998,217.0
VA,H,1998,125.0
VA,V,1999,231.0
VA,H,1999,133.0
VA,V,2000,190.0
VA,H,2000,109.0
VA,V,2001,298.0
VA,H,2001,172.0
VA,V,2002,0.0
VA,H,2002,0.0
VA,V,2003,49.0
VA,H,2003,28.0
VA,V,2004,231.0
VA,H,2004,133.0
VA,V,2005,166.0
VA,H,2005,96.0
VA,V,2006,664.0
VA,H,2006,383.0
VA,V,2007,353.0
VA,H,2007,203.0
VA,V,2008,439.0
VA,H,2008,252.0
VA,V,2009,557.0
VA,H,2009,320.0
VA,V,2010,106.0
VA,H,2010,61.0
VA,V,2011,197.0
VA,H,2011,114.0
VA,V,2012,59.0
VA,H,2012,34.0
VA,V,2013,52.0
VA,H,2013,30.0
VA,V,2014,67.0
VA,H,2014,38.0
VA,V,2015,32.0
VA,H,2015,18.0
VA,V,2016,26.0
VA,H,2016,15.0
VA,V,2017,0.0
VA,H,2017,0.0
VA,V,2018,0.0
VA,H,2018,0.0
VA,V,2019,10.0
VA,H,2019,5.0
VA,V,2020,1.0
VA,H,2020,0.0
WV,H,1989,1451.0
WV,V,1989,18.0
WV,H,1990,1245.0
WV,V,1990,15.0
WV,H,1991,296.0
WV,V,1991,4.0
WV,H,1992,445.0
WV,V,1992,5.0
WV,H,1993,0.0
WV,V,1993,0.0
WV,H,1994,6040.0
WV,V,1994,74.0
WV,H,1995,0.0
WV,V,1995,0.0
WV,H,1996,0.0
WV,V,1996,0.0
WV,H,1997,0.0
WV,V,1997,0.0
WV,H,1998,7974.0
WV,V,1998,98.0
WV,H,1999,0.0
WV,V,1999,0.0
WV,H,2000,5829.0
WV,V,2000,71.0
WV,H,2001,0.0
WV,V,2001,0.0
WV,H,2002,2964.0
WV,V,2002,36.0
WV,H,2003,1188.0
WV,V,2003,15.0
WV,H,2004,903.0
WV,V,2004,11.0
WV,H,2005,2191.0
WV,V,2005,27.0
WV,H,2006,3624.0
WV,V,2006,44.0
WV,H,2007,0.0
WV,V,2007,0.0
WV,H,2008,1135.0
WV,V,2008,14.0
WV,H,2009,1223.0
WV,V,2009,15.0
WV,H,2010,1873.0
WV,V,2010,23.0
WV,H,2011,0.0
WV,V,2011,0.0
WV,H,2012,17.0
WV,V,2012,0.0
WV,H,2013,0.0
WV,V,2013,0.0
WV,H,2014,2927.0
WV,V,2014,36.0
WV,H,2015,0.0
WV,V,2015,0.0
WV,H,2016,4238.0
WV,V,2016,52.0
WV,H,2017,0.0
WV,V,2017,0.0
WV,H,2018,0.0
WV,V,2018,0.0
WV,H,2019,1791.0
WV,V,2019,22.0
WV,H,2020,0.0
WV,V,2020,0.0
WY,H,2002,91.0
WY,D,2002,1109.0
WY,V,2002,137.0
WY,H,2003,174.0
WY,D,2003,2112.0
WY,V,2003,260.0
WY,H,2004,143.0
WY,D,2004,1734.0
WY,V,2004,214.0
WY,H,2005,238.0
WY,D,2005,2895.0
WY,V,2005,357.0
WY,H,2006,90.0
WY,D,2006,1093.0
WY,V,2006,135.0
WY,H,2007,157.0
WY,D,2007,1906.0
WY,V,2007,235.0
WY,H,2008,111.0
WY,D,2008,1343.0
WY,V,2008,166.0
WY,H,2009,0.0
WY,D,2009,0.0
WY,V,2009,0.0
WY,H,2010,28.0
WY,D,2010,343.0
WY,V,2010,42.0
WY,H,2011,309.0
WY,D,2011,3757.0
WY,V,2011,463.0
WY,H,2012,0.0
WY,D,2012,0.0
WY,V,2012,0.0
WY,H,2013,0.0
WY,D,2013,0.0
WY,V,2013,0.0
WY,H,2014,0.0
WY,D,2014,0.0
WY,V,2014,0.0
WY,H,2015,0.0
WY,D,2015,0.0
WY,V,2015,0.0
WY,H,2016,0.0
WY,D,2016,0.0
WY,V,2016,0.0
WY,H,2017,0.0
WY,D,2017,0.0
WY,V,2017,0.0
WY,H,2018,0.0
WY,D,2018,0.0
WY,V,2018,0.0
WY,H,2019,0.0
WY,D,2019,0.0
WY,V,2019,0.0
WY,H,2020,0.0
WY,D,2020,0.0
WY,V,2020,0.0
AL,D,2023,0.0
AL,H,2023,0.0
AL,V,2023,0.0
AR,D,2023,0.0
AR,H,2023,0.0
AR,V,2023,0.0
AZ,D,2023,0.0
AZ,H,2023,0.0
AZ,V,2023,0.0
CA,D,2023,0.0
CA,H,2023,0.0
CA,V,2023,0.0
CO,D,2023,0.0
CO,H,2023,0.0
CO,V,2023,0.0
FL,D,2023,0.0
FL,H,2023,0.0
FL,V,2023,0.0
ID,D,2023,0.0
ID,H,2023,0.0
ID,V,2023,0.0
IL,D,2023,0.0
IL,H,2023,0.0
IL,V,2023,0.0
IN,D,2023,0.0
IN,H,2023,0.0
IN,V,2023,0.0
KS,D,2023,0.0
KS,H,2023,0.0
KS,V,2023,0.0
KY,D,2023,0.0
KY,H,2023,0.0
KY,V,2023,0.0
LA,D,2023,0.0
LA,H,2023,0.0
LA,V,2023,0.0
MD,D,2023,0.0
MD,H,2023,0.0
MD,V,2023,0.0
MI,D,2023,0.0
MI,H,2023,0.0
MI,V,2023,0.0
MO,D,2023,0.0
MO,H,2023,0.0
MO,V,2023,0.0
MS,D,2023,0.0
MS,H,2023,0.0
MS,V,2023,0.0
MT,D,2023,0.0
MT,H,2023,0.0
MT,V,2023,0.0
ND,D,2023,0.0
ND,H,2023,0.0
ND,V,2023,0.0
NE,D,2023,0.0
NE,H,2023,0.0
NE,V,2023,0.0
NM,D,2023,0.0
NM,H,2023,0.0
NM,V,2023,0.0
NV,D,2023,0.0
NV,H,2023,0.0
NV,V,2023,0.0
NY,D,2023,0.0
NY,H,2023,0.0
NY,V,2023,0.0
OH,D,2023,0.0
OH,H,2023,0.0
OH,V,2023,0.0
OK,D,2023,0.0
OK,H,2023,0.0
OK,V,2023,0.0
OR,D,2023,0.0
OR,H,2023,0.0
OR,V,2023,0.0
PA,D,2023,0.0
PA,H,2023,0.0
PA,V,2023,0.0
SD,D,2023,0.0
SD,H,2023,0.0
SD,V,2023,0.0
TN,D,2023,0.0
TN,H,2023,0.0
TN,V,2023,0.0
TX,D,2023,0.0
TX,H,2023,0.0
TX,V,2023,0.0
UT,D,2023,0.0
UT,H,2023,264.0
UT,V,2023,0.0
VA,D,2023,0.0
VA,H,2023,0.0
VA,V,2023,0.0
WV,D,2023,0.0
WV,H,2023,0.0
WV,V,2023,0.0
WY,D,2023,0.0
WY,H,2023,0.0
WY,V,2023,0.0
