BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
CO,V,2020,0.0
CO,H,2020,0.0
CO,D,2016,0.0
CO,V,2016,0.0
CO,H,2016,0.0
CO,D,2017,0.0
CO,V,2017,0.0
CO,H,2017,0.0
CO,D,2014,0.0
CO,V,2014,0.0
CO,H,2014,0.0
CO,D,2015,0.0
CO,V,2015,0.0
CO,H,2015,0.0
CO,D,2007,1785.0
CO,V,2007,24.0
CO,H,2007,571.0
CO,D,2005,4217.0
CO,V,2005,57.0
CO,H,2005,1350.0
CO,D,2006,0.0
CO,V,2006,0.0
CO,H,2006,0.0
FL,V,2019,0.0
FL,D,2019,0.0
FL,H,2019,0.0
FL,V,2011,4.0
FL,D,2011,2.0
FL,H,2011,25.0
FL,V,2012,0.0
FL,D,2012,0.0
FL,H,2012,0.0
FL,V,2016,0.0
FL,D,2016,0.0
FL,H,2016,0.0
FL,V,2013,0.0
FL,D,2013,0.0
FL,H,2013,0.0
FL,V,2014,0.0
FL,D,2014,0.0
FL,H,2014,2.0
FL,V,2015,0.0
FL,D,2015,0.0
FL,H,2015,1.0
FL,V,2020,0.0
FL,D,2020,0.0
FL,H,2020,0.0
FL,V,2018,0.0
FL,D,2018,0.0
FL,H,2018,0.0
FL,V,2017,0.0
FL,D,2017,0.0
FL,H,2017,0.0
ID,V,2020,0.0
ID,D,2020,0.0
ID,H,2020,0.0
ID,V,2015,0.0
ID,D,2015,2.0
ID,H,2015,0.0
ID,V,2019,0.0
ID,D,2019,0.0
ID,H,2019,0.0
ID,V,2016,0.0
ID,D,2016,0.0
ID,H,2016,0.0
ID,V,2017,0.0
ID,D,2017,1.0
ID,H,2017,0.0
ID,V,2018,0.0
ID,D,2018,0.0
ID,H,2018,0.0
IL,D,2013,0.0
IL,V,2013,0.0
IL,H,2013,0.0
IL,D,2010,0.0
IL,V,2010,0.0
IL,H,2010,0.0
IL,D,2005,0.0
IL,V,2005,1.0
IL,H,2005,23.0
IL,D,2020,0.0
IL,V,2020,0.0
IL,H,2020,0.0
IL,D,2018,0.0
IL,V,2018,0.0
IL,H,2018,0.0
IL,D,2008,0.0
IL,V,2008,0.0
IL,H,2008,2.0
IL,D,2019,0.0
IL,V,2019,0.0
IL,H,2019,0.0
IL,D,2011,0.0
IL,V,2011,0.0
IL,H,2011,0.0
IL,D,2012,0.0
IL,V,2012,0.0
IL,H,2012,0.0
IL,D,2016,0.0
IL,V,2016,0.0
IL,H,2016,1.0
IL,D,2017,0.0
IL,V,2017,0.0
IL,H,2017,0.0
IL,D,2014,0.0
IL,V,2014,0.0
IL,H,2014,2.0
IL,D,2015,0.0
IL,V,2015,0.0
IL,H,2015,0.0
IL,D,2007,0.0
IL,V,2007,0.0
IL,H,2007,0.0
IL,D,2009,0.0
IL,V,2009,0.0
IL,H,2009,6.0
IL,D,2006,0.0
IL,V,2006,0.0
IL,H,2006,0.0
IN,D,2005,0.0
IN,H,2005,0.0
IN,V,2005,0.0
IN,D,2008,0.0
IN,H,2008,0.0
IN,V,2008,0.0
IN,D,2003,3.0
IN,H,2003,174.0
IN,V,2003,11.0
IN,D,2014,0.0
IN,H,2014,0.0
IN,V,2014,0.0
IN,D,2015,0.0
IN,H,2015,4.0
IN,V,2015,0.0
IN,D,2007,0.0
IN,H,2007,13.0
IN,V,2007,1.0
IN,D,2011,5.0
IN,H,2011,272.0
IN,V,2011,18.0
IN,D,2013,2.0
IN,H,2013,94.0
IN,V,2013,6.0
IN,D,2018,0.0
IN,H,2018,0.0
IN,V,2018,0.0
IN,D,2019,0.0
IN,H,2019,0.0
IN,V,2019,0.0
IN,D,2016,0.0
IN,H,2016,0.0
IN,V,2016,0.0
IN,D,2017,0.0
IN,H,2017,0.0
IN,V,2017,0.0
IN,D,2004,1.0
IN,H,2004,88.0
IN,V,2004,6.0
IN,D,2006,0.0
IN,H,2006,14.0
IN,V,2006,1.0
IN,D,2020,0.0
IN,H,2020,0.0
IN,V,2020,0.0
IN,D,2012,0.0
IN,H,2012,0.0
IN,V,2012,0.0
IN,D,2010,1.0
IN,H,2010,53.0
IN,V,2010,3.0
IN,D,2009,1.0
IN,H,2009,35.0
IN,V,2009,2.0
KS,H,1996,0.0
KS,D,1996,0.0
KS,V,1996,0.0
KS,H,2010,3.0
KS,D,2010,396.0
KS,V,2010,503.0
KS,H,1994,0.0
KS,D,1994,0.0
KS,V,1994,0.0
KS,H,1995,10.0
KS,D,1995,1166.0
KS,V,1995,1480.0
KS,H,2009,12.0
KS,D,2009,1484.0
KS,V,2009,1885.0
KS,H,2011,12.0
KS,D,2011,1412.0
KS,V,2011,1793.0
KS,H,2012,0.0
KS,D,2012,0.0
KS,V,2012,0.0
KS,H,2013,0.0
KS,D,2013,0.0
KS,V,2013,0.0
KS,H,2018,0.0
KS,D,2018,0.0
KS,V,2018,0.0
KS,H,2015,0.0
KS,D,2015,0.0
KS,V,2015,0.0
KS,H,2016,0.0
KS,D,2016,0.0
KS,V,2016,0.0
KS,H,2017,0.0
KS,D,2017,0.0
KS,V,2017,0.0
KS,H,2014,0.0
KS,D,2014,17.0
KS,V,2014,21.0
KS,H,2006,3.0
KS,D,2006,337.0
KS,V,2006,428.0
KS,H,2007,0.0
KS,D,2007,0.0
KS,V,2007,0.0
KS,H,2008,0.0
KS,D,2008,0.0
KS,V,2008,0.0
KS,H,2004,3.0
KS,D,2004,322.0
KS,V,2004,409.0
KS,H,1997,0.0
KS,D,1997,49.0
KS,V,1997,62.0
KS,H,2019,0.0
KS,D,2019,0.0
KS,V,2019,0.0
KS,H,2020,0.0
KS,D,2020,0.0
KS,V,2020,0.0
KS,H,1998,0.0
KS,D,1998,0.0
KS,V,1998,0.0
KS,H,1999,0.0
KS,D,1999,0.0
KS,V,1999,0.0
KS,H,2000,0.0
KS,D,2000,0.0
KS,V,2000,0.0
KS,H,2001,1.0
KS,D,2001,66.0
KS,V,2001,84.0
KS,H,2002,6.0
KS,D,2002,702.0
KS,V,2002,892.0
KS,H,2005,3.0
KS,D,2005,363.0
KS,V,2005,460.0
KS,H,1991,3.0
KS,D,1991,425.0
KS,V,1991,540.0
KS,H,1992,2.0
KS,D,1992,198.0
KS,V,1992,252.0
KS,H,1993,4.0
KS,D,1993,471.0
KS,V,1993,598.0
KS,H,2003,2.0
KS,D,2003,189.0
KS,V,2003,240.0
KS,H,1990,0.0
KS,D,1990,25.0
KS,V,1990,32.0
KY,H,2014,3287.0
