BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
AR,OK,2017,0.0
AR,OK,2018,0.0
AR,OK,2019,0.0
AR,OK,2020,0.0
AR,OK,2021,0.0
AR,OK,2022,0.0
AR,TX,1990,658495.0
AR,TX,1994,119255.0
AR,TX,1995,0.0
AR,TX,1996,0.0
AR,TX,1997,0.0
AR,TX,1998,0.0
AR,TX,1999,0.0
AR,TX,2000,0.0
AR,TX,2001,0.0
AR,TX,2002,0.0
AR,TX,2003,0.0
AR,TX,2004,0.0
AR,TX,2005,0.0
AR,TX,2006,0.0
AR,TX,2007,0.0
AR,TX,2008,0.0
AR,TX,2009,0.0
AR,TX,2010,0.0
AR,TX,2011,0.0
AR,TX,2012,0.0
AR,TX,2013,0.0
AR,TX,2014,0.0
AR,TX,2015,0.0
AR,TX,2016,0.0
AR,TX,2017,0.0
AR,TX,2018,477020.0
AR,TX,2019,0.0
AR,TX,2020,0.0
AR,TX,2021,311100.0
AR,TX,2022,0.0
AZ,CA,1990,3608760.0
AZ,CA,1994,1394765.0
AZ,CA,1995,0.0
AZ,CA,1996,0.0
AZ,CA,1997,0.0
AZ,CA,1998,0.0
AZ,CA,1999,0.0
AZ,CA,2000,0.0
AZ,CA,2001,0.0
AZ,CA,2002,964410.0
AZ,CA,2003,0.0
AZ,CA,2004,0.0
AZ,CA,2005,520574.0
AZ,CA,2006,0.0
AZ,CA,2007,0.0
AZ,CA,2008,0.0
AZ,CA,2009,0.0
AZ,CA,2010,0.0
AZ,CA,2011,0.0
AZ,CA,2012,0.0
AZ,CA,2013,0.0
AZ,CA,2014,0.0
AZ,CA,2015,0.0
AZ,CA,2016,0.0
AZ,CA,2017,0.0
AZ,CA,2018,188734.0
AZ,CA,2019,0.0
AZ,CA,2020,342210.0
AZ,CA,2021,0.0
AZ,CA,2022,513315.0
AZ,NV,1990,171105.0
AZ,NV,1994,0.0
AZ,NV,1995,0.0
AZ,NV,1996,0.0
AZ,NV,1997,0.0
AZ,NV,1998,0.0
AZ,NV,1999,0.0
AZ,NV,2000,0.0
AZ,NV,2001,0.0
AZ,NV,2002,0.0
AZ,NV,2003,0.0
AZ,NV,2004,0.0
AZ,NV,2005,0.0
AZ,NV,2006,0.0
AZ,NV,2007,0.0
AZ,NV,2008,0.0
AZ,NV,2009,0.0
AZ,NV,2010,0.0
AZ,NV,2011,0.0
AZ,NV,2012,0.0
AZ,NV,2013,0.0
AZ,NV,2014,0.0
AZ,NV,2015,0.0
AZ,NV,2016,0.0
AZ,NV,2017,0.0
AZ,NV,2018,0.0
AZ,NV,2019,0.0
AZ,NV,2020,0.0
AZ,NV,2021,0.0
AZ,NV,2022,0.0
CA,AZ,1990,0.0
