BLD_YRS_FOR_GAS_STORAGE_TYPE_1,BLD_YRS_FOR_GAS_STORAGE_TYPE_2,BLD_YRS_FOR_GAS_STORAGE_TYPE_3,BuildStorageCap
KS,salt cavern,2015,0.0
KS,salt cavern,2016,0.0
KS,salt cavern,2017,0.0
KS,salt cavern,2018,0.0
KS,salt cavern,2019,0.0
KS,salt cavern,2020,0.0
KS,salt cavern,2021,0.0
KS,salt cavern,2022,0.0
KY,aquifer,1999,6372987.76299854
KY,aquifer,2000,0.0
KY,aquifer,2001,0.0
KY,aquifer,2002,0.0
KY,aquifer,2003,510931.495162526
KY,aquifer,2004,0.0
KY,aquifer,2005,0.0
KY,aquifer,2006,0.0
KY,aquifer,2007,0.0
KY,aquifer,2008,501285.237001461
KY,aquifer,2009,0.0
KY,aquifer,2010,0.0
KY,aquifer,2011,0.0
KY,aquifer,2012,0.0
KY,aquifer,2013,0.0
KY,aquifer,2014,0.0
KY,aquifer,2015,0.0
KY,aquifer,2016,0.0
KY,aquifer,2017,4780570.0
KY,aquifer,2018,0.0
KY,aquifer,2019,0.0
KY,aquifer,2020,0.0
KY,aquifer,2021,0.0
KY,aquifer,2022,0.0
KY,depleted field,1999,103488874.043646
KY,depleted field,2000,2952.04547049105
KY,depleted field,2001,713410.988700613
KY,depleted field,2002,0.0
KY,depleted field,2003,0.0
KY,depleted field,2004,19680.3031365722
KY,depleted field,2005,0.0
KY,depleted field,2006,0.0
KY,depleted field,2007,966794.891583934
KY,depleted field,2008,0.0
KY,depleted field,2009,2340509.0
KY,depleted field,2010,4268292.0
KY,depleted field,2011,0.0
KY,depleted field,2012,0.0
KY,depleted field,2013,0.0
KY,depleted field,2014,2084370.0
KY,depleted field,2015,0.0
KY,depleted field,2016,1037.0
KY,depleted field,2017,0.0
KY,depleted field,2018,0.0
KY,depleted field,2019,0.0
KY,depleted field,2020,0.0
KY,depleted field,2021,0.0
KY,depleted field,2022,0.0
KY,salt cavern,1999,0.0
KY,salt cavern,2000,0.0
KY,salt cavern,2001,0.0
KY,salt cavern,2002,0.0
KY,salt cavern,2003,0.0
KY,salt cavern,2004,0.0
KY,salt cavern,2005,0.0
KY,salt cavern,2006,0.0
KY,salt cavern,2007,0.0
KY,salt cavern,2008,0.0
KY,salt cavern,2009,0.0
KY,salt cavern,2010,0.0
KY,salt cavern,2011,0.0
KY,salt cavern,2012,0.0
KY,salt cavern,2013,0.0
KY,salt cavern,2014,0.0
KY,salt cavern,2015,0.0
KY,salt cavern,2016,0.0
KY,salt cavern,2017,0.0
KY,salt cavern,2018,0.0
KY,salt cavern,2019,0.0
KY,salt cavern,2020,0.0
KY,salt cavern,2021,0.0
KY,salt cavern,2022,0.0
LA,aquifer,1999,0.0
LA,aquifer,2000,0.0
LA,aquifer,2001,0.0
LA,aquifer,2002,0.0
LA,aquifer,2003,0.0
LA,aquifer,2004,0.0
LA,aquifer,2005,0.0
LA,aquifer,2006,0.0
LA,aquifer,2007,0.0
LA,aquifer,2008,0.0
LA,aquifer,2009,0.0
LA,aquifer,2010,0.0
LA,aquifer,2011,0.0
LA,aquifer,2012,0.0
LA,aquifer,2013,0.0
LA,aquifer,2014,0.0
LA,aquifer,2015,0.0
LA,aquifer,2016,0.0
LA,aquifer,2017,0.0
LA,aquifer,2018,0.0
LA,aquifer,2019,0.0
LA,aquifer,2020,0.0
LA,aquifer,2021,0.0
LA,aquifer,2022,0.0
LA,depleted field,1999,312457815.098892
LA,depleted field,2000,0.0
LA,depleted field,2001,0.0
LA,depleted field,2002,0.0
LA,depleted field,2003,0.0
LA,depleted field,2004,0.0
LA,depleted field,2005,0.0
LA,depleted field,2006,0.0
LA,depleted field,2007,0.0
LA,depleted field,2008,0.0
LA,depleted field,2009,0.0
LA,depleted field,2010,0.0
LA,depleted field,2011,1280695.0
LA,depleted field,2012,0.0
LA,depleted field,2013,83582200.0
LA,depleted field,2014,518500.0
LA,depleted field,2015,0.0
LA,depleted field,2016,621163.0
LA,depleted field,2017,0.0
LA,depleted field,2018,0.0
