gas_zone,timeseries,ShadowPrice
AL,20230923,1.70987
AL,20230924,1.70987
AL,20230925,1.70987
AL,20230926,1.62832
AL,20230927,1.8016
AL,20230928,1.82199
AL,20230929,1.76083
AL,20230930,1.76763
AL,20231001,1.77442
AL,20231002,1.78122
AL,20231003,1.79141
AL,20231004,2.00546
AL,20231005,2.00546
AL,20231006,2.39279
AL,20231007,2.40299
AL,20231008,2.31067
AL,20231009,2.32056
AL,20231010,2.33044
AL,20231011,2.18218
AL,20231012,2.15253
AL,20231013,2.10311
AL,20231014,2.06028
AL,20231015,2.01744
AL,20231016,1.97461
AL,20231017,1.93508
AL,20231018,1.91531
AL,20231019,1.83623
AL,20231020,1.59901
AL,20231021,1.61549
AL,20231022,1.63196
AL,20231023,1.64843
AL,20231024,1.84612
AL,20231025,1.856
AL,20231026,1.9545
AL,20231027,2.33164
AL,20231028,2.30785
AL,20231029,2.28407
AL,20231030,2.27046
AL,20231031,2.639
AL,20231101,2.52416
AL,20231102,2.44747
AL,20231103,2.087
AL,20231104,1.89883
AL,20231105,1.80329
AL,20231106,1.70774
AL,20231107,1.22565
AL,20231108,1.2725
AL,20231109,1.79141
AL,20231110,1.70774
AL,20231111,1.75743
AL,20231112,1.73194
AL,20231113,1.6089
AL,20231114,1.68797
AL,20231115,1.87577
AL,20231116,1.90542
AL,20231117,1.61878
AL,20231118,1.6555
AL,20231119,1.61947
AL,20231120,1.56717
AL,20231121,1.70987
AL,20231122,1.81034
AL,20231123,1.9689
AL,20231124,2.00922
AL,20231125,2.54617
AL,20231126,2.61561
AL,20231127,2.98134
AL,20231128,3.04864
AL,20231129,2.9974
AL,20231130,2.87548
AL,20231201,1.80761
AL,20231202,1.77944
AL,20231203,1.75127
AL,20231204,1.7231
AL,20231205,2.00922
AL,20231206,2.05304
AL,20231207,1.79009
AL,20231208,1.74423
AL,20231209,1.51006
AL,20231210,1.60376
AL,20231211,2.91999
AL,20231212,2.47659
AL,20231213,1.80382
AL,20231214,1.64766
AL,20231215,1.60689
AL,20231216,1.65971
AL,20231217,1.71253
AL,20231218,1.86679
AL,20231219,2.49449
AL,20231220,2.72144
AL,20231221,1.74627
AL,20231222,1.71253
AL,20231223,1.70197
AL,20231224,1.59774
AL,20231225,1.51006
AL,20231226,1.58538
AL,20231227,1.91061
AL,20231228,1.8447
AL,20231229,2.47914
AL,20231230,2.96342
AL,20231231,2.82851
AR,20230101,-0.117353
AR,20230102,-0.208244
AR,20230103,-0.250466
AR,20230104,-0.228843
AR,20230105,0.247103
AR,20230106,0.300508
AR,20230107,0.256142
AR,20230108,0.230972
AR,20230109,0.247365
AR,20230110,0.378457
AR,20230111,-0.159485
AR,20230112,-0.145372
AR,20230113,0.13258
AR,20230114,0.930555
AR,20230115,0.931184
AR,20230116,0.283698
AR,20230117,-0.230397
AR,20230118,-0.339464
AR,20230119,-0.396811
AR,20230120,0.500554
AR,20230121,0.647253
AR,20230122,0.778677
AR,20230123,0.936405
AR,20230124,1.00744
AR,20230125,1.23674
AR,20230126,1.27336
AR,20230127,1.29633
AR,20230128,0.854022
AR,20230129,0.496333
AR,20230130,0.743745
AR,20230131,1.80717
AR,20230201,1.80707
AR,20230202,1.81022
AR,20230203,1.19714
AR,20230204,1.17175
AR,20230205,1.12935
AR,20230206,-0.245722
AR,20230207,-0.414946
AR,20230208,-0.455238
AR,20230209,-0.499585
AR,20230210,-0.505577
AR,20230211,1.03524
AR,20230212,1.02415
AR,20230213,0.914487
AR,20230214,-0.619476
AR,20230215,-0.713294
AR,20230216,-0.484594
AR,20230217,1.11039
AR,20230218,1.14218
AR,20230219,1.06126
AR,20230220,-0.547627
AR,20230221,-0.55554
AR,20230222,-0.481427
AR,20230223,-0.0783685
AR,20230224,0.644184
AR,20230225,1.01437
AR,20230226,0.751254
AR,20230227,-0.471813
AR,20230228,-0.708624
AR,20230301,-0.464159
AR,20230302,-0.448597
AR,20230303,-0.450642
AR,20230304,-0.291811
AR,20230305,-0.476884
AR,20230306,-0.61491
AR,20230307,-0.60629
AR,20230308,-0.382616
AR,20230309,-0.382717
AR,20230310,-0.502055
AR,20230311,-0.406437
AR,20230312,-0.406534
AR,20230313,0.442594
AR,20230314,0.786735
AR,20230315,0.91232
AR,20230316,-0.261281
AR,20230317,-0.498695
AR,20230318,0.842662
AR,20230319,1.1104
AR,20230320,1.16585
AR,20230321,0.352698
AR,20230322,-0.677892
AR,20230323,-0.744728
AR,20230324,-0.709775
AR,20230325,-0.573317
AR,20230326,-0.573376
AR,20230327,-0.67667
AR,20230328,-0.577392
AR,20230329,-0.593032
AR,20230330,-0.491579
AR,20230331,-0.751677
AR,20230401,-0.752528
AR,20230402,-0.750475
AR,20230403,-0.748422
AR,20230404,-0.770751
AR,20230405,-0.458685
AR,20230406,-0.689718
AR,20230407,-0.690727
AR,20230408,-0.745162
AR,20230409,-0.745978
AR,20230410,-0.780917
AR,20230411,-0.803217
AR,20230412,-0.819892
AR,20230413,-0.71857
AR,20230414,-0.60859
AR,20230415,-0.686394
AR,20230416,-0.749893
AR,20230417,-0.813392
AR,20230418,-0.73872
AR,20230419,-0.807456
AR,20230420,-0.801682
AR,20230421,-0.807135
AR,20230422,-0.805104
AR,20230423,-0.803074
AR,20230424,-0.743062
AR,20230425,-0.812103
AR,20230426,-0.800724
AR,20230427,-0.789349
AR,20230428,-0.845265
AR,20230429,-0.839495
AR,20230430,-0.833724
AR,20230501,-0.827954
AR,20230502,-0.760536
AR,20230503,-0.69874
AR,20230504,-0.670578
AR,20230505,-0.568587
AR,20230506,-0.653736
AR,20230507,-0.330408
AR,20230508,-0.759612
AR,20230509,-0.815453
AR,20230510,-0.473402
AR,20230511,-0.731161
AR,20230512,-0.680635
AR,20230513,-0.730847
AR,20230514,-0.29001
AR,20230515,-0.261725
AR,20230516,-0.252331
AR,20230517,-0.648618
AR,20230518,-0.858919
AR,20230519,-0.813923
AR,20230520,-0.634858
AR,20230521,-0.81704
AR,20230522,-0.858481
AR,20230523,-0.813641
AR,20230524,-0.830308
AR,20230525,-0.81902
AR,20230526,-0.609054
AR,20230527,-0.649034
AR,20230528,-0.68735
AR,20230529,-0.719392
AR,20230530,-0.751433
AR,20230531,-0.745746
AR,20230601,-0.415445
AR,20230602,-0.361181
AR,20230603,-0.174973
AR,20230604,-0.51393
AR,20230605,-0.340608
AR,20230606,-0.321973
AR,20230607,-0.7618
AR,20230608,-0.459181
AR,20230609,-0.495457
AR,20230610,-0.523738
AR,20230611,-0.552019
AR,20230612,-0.5803
AR,20230613,-0.688635
AR,20230614,-0.677962
AR,20230615,-0.659414
AR,20230616,-0.301351
AR,20230617,-0.657662
AR,20230618,-0.429243
AR,20230619,-0.63984
AR,20230620,-0.160892
AR,20230621,-0.208578
AR,20230622,-0.257572
AR,20230623,-0.653833
AR,20230624,-0.231469
AR,20230625,0.655534
AR,20230626,0.0542141
AR,20230627,-0.0591318
AR,20230628,-0.0489746
AR,20230629,0.348429
AR,20230630,0.650752
AR,20230701,1.3855
AR,20230702,0.105975
AR,20230703,-0.0357318
AR,20230704,0.558097
AR,20230705,1.03436
AR,20230706,0.787815
AR,20230707,-0.124219
AR,20230708,-0.117465
AR,20230709,-0.11071
AR,20230710,-0.50433
AR,20230711,-0.221512
AR,20230712,-0.104048
AR,20230713,0.160638
AR,20230714,0.744276
AR,20230715,0.961631
AR,20230716,0.519763
AR,20230717,0.142253
AR,20230718,0.169319
AR,20230719,0.668584
AR,20230720,0.733777
AR,20230721,0.987877
AR,20230722,0.0737477
AR,20230723,-0.0684609
AR,20230724,0.163087
AR,20230725,0.765799
AR,20230726,1.4303
AR,20230727,1.38009
AR,20230728,1.40316
AR,20230729,1.40951
AR,20230730,0.977498
AR,20230731,0.664957
AR,20230801,0.561126
AR,20230802,0.524101
AR,20230803,0.621118
AR,20230804,0.97015
AR,20230805,0.896812
AR,20230806,0.987222
AR,20230807,0.995758
AR,20230808,0.732529
AR,20230809,0.191924
AR,20230810,0.782453
AR,20230811,0.633786
AR,20230812,0.996264
AR,20230813,1.00551
AR,20230814,1.01475
AR,20230815,0.602844
AR,20230816,0.0149409
AR,20230817,-0.802406
AR,20230818,0.100096
AR,20230819,0.0225768
AR,20230820,0.688638
AR,20230821,1.65436
AR,20230822,1.50173
AR,20230823,1.50786
AR,20230824,1.63453
AR,20230825,1.6636
AR,20230826,1.57506
AR,20230827,0.974226
AR,20230828,0.631599
AR,20230829,-0.123981
AR,20230830,-0.130819
AR,20230831,-0.103784
AR,20230901,-0.540229
AR,20230902,-0.59067
AR,20230903,0.12863
AR,20230904,1.16007
AR,20230905,1.24267
AR,20230906,1.17126
AR,20230907,0.133497
AR,20230908,-0.114454
AR,20230909,-0.805321
AR,20230910,-0.80599
AR,20230911,-0.806659
AR,20230912,-0.584561
AR,20230913,-0.578909
AR,20230914,-0.786337
AR,20230915,-0.790948
AR,20230916,-0.795325
AR,20230917,-0.60074
AR,20230918,-0.804081
AR,20230919,-0.809334
AR,20230920,-0.788321
AR,20230921,-0.793574
AR,20230922,-0.597427
AR,20230923,-0.597427
AR,20230924,-0.149215
AR,20230925,-0.597427
AR,20230926,-0.608786
AR,20230927,-0.584647
AR,20230928,-0.399949
AR,20230929,-0.133594
AR,20230930,-0.411062
AR,20231001,-0.129428
AR,20231002,-0.587487
AR,20231003,-0.792918
AR,20231004,-0.779128
AR,20231005,-0.779128
AR,20231006,-0.754174
AR,20231007,-0.753518
AR,20231008,-0.855365
AR,20231009,-0.855017
AR,20231010,-0.85467
AR,20231011,-0.859888
AR,20231012,-0.860932
AR,20231013,-0.862672
AR,20231014,-0.864179
AR,20231015,-0.865687
AR,20231016,-0.867195
AR,20231017,-0.868586
AR,20231018,-0.869282
AR,20231019,-0.872065
AR,20231020,-0.880415
AR,20231021,-0.879836
AR,20231022,-0.879256
AR,20231023,-0.878676
AR,20231024,-0.871717
AR,20231025,-0.87137
AR,20231026,-0.782411
AR,20231027,-0.758114
AR,20231028,-0.759647
AR,20231029,-0.761179
AR,20231030,-0.752534
AR,20231031,-0.546114
AR,20231101,-0.358968
AR,20231102,-0.527849
AR,20231103,-0.773874
AR,20231104,-0.869862
AR,20231105,-0.873225
AR,20231106,-0.876588
AR,20231107,-0.681598
AR,20231108,-0.781429
AR,20231109,-0.792918
AR,20231110,-0.876588
AR,20231111,-0.795107
AR,20231112,-0.788809
AR,20231113,-0.880067
AR,20231114,-0.877284
AR,20231115,-0.870674
AR,20231116,-0.86963
AR,20231117,-0.87972
AR,20231118,-0.801673
AR,20231119,-0.796386
AR,20231120,-0.807364
AR,20231121,-0.798171
AR,20231122,-0.783529
AR,20231123,-0.584647
AR,20231124,-0.584647
AR,20231125,0.188592
AR,20231126,0.252267
AR,20231127,0.835366
AR,20231128,0.794267
AR,20231129,0.566157
AR,20231130,0.253007
AR,20231201,-0.700424
AR,20231202,-0.703166
AR,20231203,-0.705908
AR,20231204,-0.708651
AR,20231205,-0.584647
AR,20231206,-0.578967
AR,20231207,-0.613046
AR,20231208,-0.706594
AR,20231209,-0.883547
AR,20231210,-0.732621
AR,20231211,0.640823
AR,20231212,0.42739
AR,20231213,-0.210794
AR,20231214,-0.418826
AR,20231215,-0.719962
AR,20231216,-0.71482
AR,20231217,-0.709679
AR,20231218,-0.603106
AR,20231219,0.384775
AR,20231220,0.7791
AR,20231221,-0.618726
AR,20231222,-0.709679
AR,20231223,-0.710707
AR,20231224,-0.805394
AR,20231225,-0.883547
AR,20231226,-0.798682
AR,20231227,-0.597427
AR,20231228,-0.223165
AR,20231229,0.458478
AR,20231230,0.942757
AR,20231231,0.462558
AZ,20230101,1.15868
AZ,20230102,1.15705
AZ,20230103,1.19352
AZ,20230104,1.09882
AZ,20230105,1.08653
AZ,20230106,1.23384
AZ,20230107,1.20335
AZ,20230108,1.17285
AZ,20230109,1.14235
