GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
MN,IA,20230806,49914.316596974386
MN,IA,20230807,541385.1561309575
MN,IA,20230808,231862.88512073853
MN,IA,20230809,0.0
MN,IA,20230810,93080.28236015514
MN,IA,20230811,57249.06657749729
MN,IA,20230812,56405.779111519456
MN,IA,20230813,44056.55320954311
MN,IA,20230814,720276.1189647974
MN,IA,20230815,593126.2176953721
MN,IA,20230816,0.0
MN,IA,20230817,0.0
MN,IA,20230818,0.0
MN,IA,20230819,0.0
MN,IA,20230820,184506.05984723032
MN,IA,20230821,0.0
MN,IA,20230822,0.0
MN,IA,20230823,0.0
MN,IA,20230824,0.0
MN,IA,20230825,0.0
MN,IA,20230826,0.0
MN,IA,20230827,716453.9306766152
MN,IA,20230828,300539.3374481164
MN,IA,20230829,0.0
MN,IA,20230830,12325.348757095635
MN,IA,20230831,0.0
MN,IA,20230901,0.0
MN,IA,20230902,0.0
MN,IA,20230903,0.0
MN,IA,20230904,0.0
MN,IA,20230905,0.0
MN,IA,20230906,0.0
MN,IA,20230907,98424.28083262674
MN,IA,20230908,0.0
MN,IA,20230909,0.0
MN,IA,20230910,0.0
MN,IA,20230911,0.0
MN,IA,20230912,0.0
MN,IA,20230913,0.0
MN,IA,20230914,0.0
MN,IA,20230915,0.0
MN,IA,20230916,0.0
MN,IA,20230917,0.0
MN,IA,20230918,0.0
MN,IA,20230919,0.0
MN,IA,20230920,0.0
MN,IA,20230921,0.0
MN,IA,20230922,0.0
MN,IA,20230923,0.0
MN,IA,20230924,0.0
MN,IA,20230925,0.0
MN,IA,20230926,0.0
MN,IA,20230927,0.0
MN,IA,20230928,0.0
MN,IA,20230929,0.0
MN,IA,20230930,0.0
MN,IA,20231001,0.0
MN,IA,20231002,0.0
MN,IA,20231003,0.0
MN,IA,20231004,0.0
MN,IA,20231005,0.0
MN,IA,20231006,0.0
MN,IA,20231007,0.0
MN,IA,20231008,0.0
MN,IA,20231009,0.0
MN,IA,20231010,0.0
MN,IA,20231011,0.0
MN,IA,20231012,0.0
MN,IA,20231013,0.0
MN,IA,20231014,0.0
MN,IA,20231015,0.0
MN,IA,20231016,0.0
MN,IA,20231017,0.0
MN,IA,20231018,0.0
MN,IA,20231019,0.0
MN,IA,20231020,0.0
MN,IA,20231021,0.0
MN,IA,20231022,0.0
MN,IA,20231023,0.0
MN,IA,20231024,0.0
MN,IA,20231025,0.0
MN,IA,20231026,0.0
MN,IA,20231027,0.0
MN,IA,20231028,0.0
MN,IA,20231029,0.0
MN,IA,20231030,0.0
MN,IA,20231031,0.0
MN,IA,20231101,0.0
MN,IA,20231102,0.0
MN,IA,20231103,0.0
MN,IA,20231104,0.0
MN,IA,20231105,0.0
MN,IA,20231106,0.0
MN,IA,20231107,0.0
MN,IA,20231108,0.0
MN,IA,20231109,0.0
MN,IA,20231110,0.0
MN,IA,20231111,0.0
MN,IA,20231112,0.0
MN,IA,20231113,0.0
MN,IA,20231114,0.0
MN,IA,20231115,0.0
MN,IA,20231116,0.0
MN,IA,20231117,0.0
MN,IA,20231118,0.0
MN,IA,20231119,0.0
MN,IA,20231120,0.0
MN,IA,20231121,0.0
MN,IA,20231122,0.0
MN,IA,20231123,0.0
MN,IA,20231124,0.0
MN,IA,20231125,0.0
MN,IA,20231126,0.0
MN,IA,20231127,0.0
MN,IA,20231128,0.0
MN,IA,20231129,0.0
MN,IA,20231130,0.0
MN,IA,20231201,0.0
MN,IA,20231202,0.0
MN,IA,20231203,0.0
MN,IA,20231204,0.0
MN,IA,20231205,0.0
MN,IA,20231206,0.0
MN,IA,20231207,0.0
MN,IA,20231208,0.0
MN,IA,20231209,0.0
MN,IA,20231210,0.0
MN,IA,20231211,0.0
MN,IA,20231212,0.0
MN,IA,20231213,0.0
MN,IA,20231214,0.0
MN,IA,20231215,0.0
MN,IA,20231216,0.0
MN,IA,20231217,0.0
MN,IA,20231218,0.0
MN,IA,20231219,0.0
MN,IA,20231220,0.0
MN,IA,20231221,0.0
MN,IA,20231222,0.0
MN,IA,20231223,0.0
MN,IA,20231224,0.0
MN,IA,20231225,0.0
MN,IA,20231226,0.0
MN,IA,20231227,0.0
MN,IA,20231228,0.0
MN,IA,20231229,0.0
MN,IA,20231230,0.0
MN,IA,20231231,0.0
CO,OK,20230101,0.0
CO,OK,20230102,0.0
CO,OK,20230103,0.0
CO,OK,20230104,0.0
CO,OK,20230105,0.0
CO,OK,20230106,0.0
CO,OK,20230107,0.0
CO,OK,20230108,0.0
CO,OK,20230109,0.0
CO,OK,20230110,0.0
CO,OK,20230111,0.0
CO,OK,20230112,0.0
CO,OK,20230113,0.0
CO,OK,20230114,0.0
CO,OK,20230115,0.0
CO,OK,20230116,0.0
CO,OK,20230117,0.0
CO,OK,20230118,0.0
CO,OK,20230119,0.0
CO,OK,20230120,0.0
CO,OK,20230121,0.0
CO,OK,20230122,0.0
CO,OK,20230123,0.0
CO,OK,20230124,0.0
CO,OK,20230125,0.0
CO,OK,20230126,0.0
CO,OK,20230127,0.0
CO,OK,20230128,0.0
CO,OK,20230129,0.0
CO,OK,20230130,0.0
CO,OK,20230131,0.0
CO,OK,20230201,0.0
CO,OK,20230202,0.0
CO,OK,20230203,0.0
CO,OK,20230204,0.0
CO,OK,20230205,0.0
CO,OK,20230206,0.0
CO,OK,20230207,0.0
CO,OK,20230208,0.0
CO,OK,20230209,0.0
CO,OK,20230210,0.0
CO,OK,20230211,0.0
CO,OK,20230212,0.0
CO,OK,20230213,0.0
CO,OK,20230214,0.0
CO,OK,20230215,0.0
CO,OK,20230216,0.0
CO,OK,20230217,0.0
CO,OK,20230218,0.0
CO,OK,20230219,0.0
CO,OK,20230220,0.0
CO,OK,20230221,0.0
CO,OK,20230222,0.0
CO,OK,20230223,0.0
CO,OK,20230224,0.0
CO,OK,20230225,0.0
CO,OK,20230226,0.0
CO,OK,20230227,0.0
CO,OK,20230228,0.0
CO,OK,20230301,0.0
CO,OK,20230302,0.0
CO,OK,20230303,0.0
CO,OK,20230304,0.0
CO,OK,20230305,0.0
CO,OK,20230306,0.0
CO,OK,20230307,0.0
CO,OK,20230308,0.0
CO,OK,20230309,0.0
CO,OK,20230310,0.0
CO,OK,20230311,0.0
CO,OK,20230312,0.0
CO,OK,20230313,0.0
CO,OK,20230314,0.0
CO,OK,20230315,0.0
CO,OK,20230316,0.0
CO,OK,20230317,0.0
CO,OK,20230318,0.0
CO,OK,20230319,0.0
CO,OK,20230320,0.0
CO,OK,20230321,0.0
CO,OK,20230322,0.0
CO,OK,20230323,0.0
CO,OK,20230324,0.0
CO,OK,20230325,0.0
CO,OK,20230326,0.0
CO,OK,20230327,0.0
CO,OK,20230328,0.0
CO,OK,20230329,0.0
CO,OK,20230330,0.0
CO,OK,20230331,0.0
CO,OK,20230401,0.0
CO,OK,20230402,0.0
CO,OK,20230403,0.0
CO,OK,20230404,0.0
CO,OK,20230405,0.0
CO,OK,20230406,0.0
CO,OK,20230407,0.0
CO,OK,20230408,0.0
CO,OK,20230409,0.0
CO,OK,20230410,0.0
CO,OK,20230411,0.0
CO,OK,20230412,0.0
CO,OK,20230413,0.0
CO,OK,20230414,0.0
CO,OK,20230415,0.0
CO,OK,20230416,0.0
CO,OK,20230417,0.0
CO,OK,20230418,0.0
CO,OK,20230419,0.0
CO,OK,20230420,0.0
CO,OK,20230421,0.0
CO,OK,20230422,0.0
CO,OK,20230423,0.0
CO,OK,20230424,0.0
CO,OK,20230425,0.0
CO,OK,20230426,0.0
CO,OK,20230427,0.0
CO,OK,20230428,0.0
CO,OK,20230429,0.0
CO,OK,20230430,0.0
CO,OK,20230501,0.0
CO,OK,20230502,0.0
CO,OK,20230503,0.0
CO,OK,20230504,0.0
CO,OK,20230505,0.0
CO,OK,20230506,0.0
CO,OK,20230507,0.0
CO,OK,20230508,0.0
CO,OK,20230509,0.0
CO,OK,20230510,0.0
