GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
AR,salt cavern,2018,0,0,0
AR,salt cavern,2019,0,0,0
AR,salt cavern,2020,0,0,0
AR,salt cavern,2021,0,0,0
AR,salt cavern,2022,0,0,0
CA,aquifer,1999,0,0,0
CA,aquifer,2000,0,0,0
CA,aquifer,2001,0,0,0
CA,aquifer,2002,0,0,0
CA,aquifer,2003,0,0,0
CA,aquifer,2004,0,0,0
CA,aquifer,2005,0,0,0
CA,aquifer,2006,0,0,0
CA,aquifer,2007,0,0,0
CA,aquifer,2008,0,0,0
CA,aquifer,2009,0,0,0
CA,aquifer,2010,0,0,0
CA,aquifer,2011,0,0,0
CA,aquifer,2012,0,0,0
CA,aquifer,2013,10370000,0,10370000
CA,aquifer,2014,0,0,10370000
CA,aquifer,2015,0,0,10370000
CA,aquifer,2016,186660,0,10556660
CA,aquifer,2017,0,0,10556660
CA,aquifer,2018,0,10556660,0
CA,aquifer,2019,0,0,0
CA,aquifer,2020,0,0,0
CA,aquifer,2021,0,0,0
CA,aquifer,2022,0,0,0
CA,depleted field,1999,236276834.983432,0,236276834.983432
CA,depleted field,2000,0,0,236276834.983432
CA,depleted field,2001,54255640.9855412,0,290532475.968973
CA,depleted field,2002,2493499.67478567,0,293025975.643759
CA,depleted field,2003,0,20126628.8764594,272899346.767299
CA,depleted field,2004,19656191.8671586,0,292555538.634458
CA,depleted field,2005,0,305875.818791211,292249662.815667
CA,depleted field,2006,4273085.18851274,0,296522748.004179
CA,depleted field,2007,1835254.91274709,0,298358002.916927
CA,depleted field,2008,0,4061550.91692656,294296452
CA,depleted field,2009,12755100,0,307051552
CA,depleted field,2010,15555000,0,322606552
CA,depleted field,2011,25199100,0,347805652
CA,depleted field,2012,14414300,0,362219952
CA,depleted field,2013,15555000,0,377774952
CA,depleted field,2014,0,0,377774952
CA,depleted field,2015,1244400,0,379019352
CA,depleted field,2016,0,4396880,374622472
CA,depleted field,2017,1866600,0,376489072
CA,depleted field,2018,10556660,0,387045732
CA,depleted field,2019,757010,0,387802742
CA,depleted field,2020,0,0,387802742
CA,depleted field,2021,0,52988626,334814116
CA,depleted field,2022,0,0,334814116
CA,salt cavern,1999,1464658.8,0,1464658.8
CA,salt cavern,2000,75286.2,0,1539945
CA,salt cavern,2001,0,1539945,0
CA,salt cavern,2002,0,0,0
CA,salt cavern,2003,0,0,0
CA,salt cavern,2004,0,0,0
CA,salt cavern,2005,0,0,0
CA,salt cavern,2006,0,0,0
CA,salt cavern,2007,0,0,0
CA,salt cavern,2008,0,0,0
CA,salt cavern,2009,0,0,0
CA,salt cavern,2010,0,0,0
CA,salt cavern,2011,0,0,0
CA,salt cavern,2012,0,0,0
CA,salt cavern,2013,0,0,0
CA,salt cavern,2014,0,0,0
CA,salt cavern,2015,0,0,0
CA,salt cavern,2016,0,0,0
CA,salt cavern,2017,0,0,0
CA,salt cavern,2018,0,0,0
CA,salt cavern,2019,0,0,0
CA,salt cavern,2020,0,0,0
CA,salt cavern,2021,0,0,0
CA,salt cavern,2022,0,0,0
CO,aquifer,1999,0,0,0
CO,aquifer,2000,0,0,0
CO,aquifer,2001,0,0,0
CO,aquifer,2002,0,0,0
CO,aquifer,2003,0,0,0
CO,aquifer,2004,0,0,0
CO,aquifer,2005,0,0,0
CO,aquifer,2006,0,0,0
CO,aquifer,2007,0,0,0
CO,aquifer,2008,0,0,0
CO,aquifer,2009,0,0,0
CO,aquifer,2010,0,0,0
CO,aquifer,2011,0,0,0
CO,aquifer,2012,0,0,0
CO,aquifer,2013,0,0,0
CO,aquifer,2014,0,0,0
CO,aquifer,2015,0,0,0
CO,aquifer,2016,0,0,0
CO,aquifer,2017,0,0,0
CO,aquifer,2018,0,0,0
CO,aquifer,2019,0,0,0
CO,aquifer,2020,0,0,0
CO,aquifer,2021,0,0,0
CO,aquifer,2022,0,0,0
CO,depleted field,1999,52751544.8714424,0,52751544.8714424
CO,depleted field,2000,332083.84255258,0,53083628.713995
CO,depleted field,2001,0,0,53083628.713995
CO,depleted field,2002,438541.342318237,0,53522170.0563132
CO,depleted field,2003,529.639302320778,0,53522699.6956155
CO,depleted field,2004,0,0,53522699.6956155
CO,depleted field,2005,0,1582032.59602003,51940667.0995955
CO,depleted field,2006,0,0,51940667.0995955
CO,depleted field,2007,0,0,51940667.0995955
CO,depleted field,2008,0,7786244.09959551,44154423
CO,depleted field,2009,5755350,0,49909773
CO,depleted field,2010,1026630,0,50936403
CO,depleted field,2011,0,425170,50511233
CO,depleted field,2012,12312301,0,62823534
CO,depleted field,2013,0,0,62823534
CO,depleted field,2014,3310104,0,66133638
CO,depleted field,2015,0,0,66133638
CO,depleted field,2016,0,0,66133638
CO,depleted field,2017,4562800,0,70696438
CO,depleted field,2018,4542060,0,75238498
CO,depleted field,2019,207400,0,75445898
CO,depleted field,2020,0,0,75445898
CO,depleted field,2021,0,0,75445898
CO,depleted field,2022,212585,0,75658483
CO,salt cavern,1999,0,0,0
CO,salt cavern,2000,0,0,0
CO,salt cavern,2001,0,0,0
CO,salt cavern,2002,0,0,0
CO,salt cavern,2003,0,0,0
CO,salt cavern,2004,0,0,0
CO,salt cavern,2005,0,0,0
CO,salt cavern,2006,0,0,0
CO,salt cavern,2007,0,0,0
CO,salt cavern,2008,0,0,0
CO,salt cavern,2009,0,0,0
CO,salt cavern,2010,0,0,0
CO,salt cavern,2011,0,0,0
CO,salt cavern,2012,0,0,0
CO,salt cavern,2013,0,0,0
CO,salt cavern,2014,0,0,0
CO,salt cavern,2015,0,0,0
CO,salt cavern,2016,0,0,0
CO,salt cavern,2017,0,0,0
CO,salt cavern,2018,0,0,0
CO,salt cavern,2019,0,0,0
CO,salt cavern,2020,0,0,0
CO,salt cavern,2021,0,0,0
CO,salt cavern,2022,0,0,0
IL,aquifer,1999,214397583.290257,0,214397583.290257
IL,aquifer,2000,0,0,214397583.290257
IL,aquifer,2001,0,0,214397583.290257
IL,aquifer,2002,13103546.7244872,0,227501130.014744
IL,aquifer,2003,0,6948257.64897546,220552872.365769
IL,aquifer,2004,24744.3023649752,0,220577616.668134
IL,aquifer,2005,32120693.9897583,0,252698310.657892
IL,aquifer,2006,797572.164601415,0,253495882.822493
IL,aquifer,2007,0,1173052.56676769,252322830.255726
IL,aquifer,2008,1638469.74427435,0,253961300
IL,aquifer,2009,7719428,0,261680728
IL,aquifer,2010,0,37551844,224128884
IL,aquifer,2011,0,1156255,222972629
IL,aquifer,2012,598349,0,223570978
IL,aquifer,2013,78760150,0,302331128
IL,aquifer,2014,1037000,0,303368128
IL,aquifer,2015,0,724863,302643265
IL,aquifer,2016,0,0,302643265
IL,aquifer,2017,0,42869580,259773685
IL,aquifer,2018,1389580,0,261163265
IL,aquifer,2019,0,0,261163265
IL,aquifer,2020,0,0,261163265
IL,aquifer,2021,0,0,261163265
IL,aquifer,2022,0,1389580,259773685
IL,depleted field,1999,77360451.4336175,0,77360451.4336175
IL,depleted field,2000,0,0,77360451.4336175
IL,depleted field,2001,0,0,77360451.4336175
IL,depleted field,2002,605107.334487125,0,77965558.7681046
IL,depleted field,2003,25833544.8775912,0,103799103.645696
IL,depleted field,2004,5042561.12072597,0,108841664.766422
IL,depleted field,2005,0,56534674.0050192,52306990.7614026
IL,depleted field,2006,0,0,52306990.7614026
IL,depleted field,2007,0,0,52306990.7614026
IL,depleted field,2008,1013475.23859742,0,53320466
IL,depleted field,2009,0,0,53320466
IL,depleted field,2010,37280150,0,90600616
IL,depleted field,2011,0,0,90600616
IL,depleted field,2012,0,0,90600616
IL,depleted field,2013,0,78397200,12203416
IL,depleted field,2014,0,0,12203416
IL,depleted field,2015,0,0,12203416
IL,depleted field,2016,0,0,12203416
IL,depleted field,2017,42869580,0,55072996
IL,depleted field,2018,0,1389580,53683416
IL,depleted field,2019,0,0,53683416
IL,depleted field,2020,0,0,53683416
IL,depleted field,2021,0,0,53683416
IL,depleted field,2022,1596980,0,55280396
IL,salt cavern,1999,0,0,0
IL,salt cavern,2000,0,0,0
IL,salt cavern,2001,0,0,0
IL,salt cavern,2002,0,0,0
IL,salt cavern,2003,0,0,0
IL,salt cavern,2004,0,0,0
IL,salt cavern,2005,0,0,0
IL,salt cavern,2006,0,0,0
IL,salt cavern,2007,0,0,0
IL,salt cavern,2008,0,0,0
IL,salt cavern,2009,0,0,0
IL,salt cavern,2010,0,0,0
IL,salt cavern,2011,0,0,0
IL,salt cavern,2012,0,0,0
IL,salt cavern,2013,0,0,0
IL,salt cavern,2014,0,0,0
IL,salt cavern,2015,0,0,0
IL,salt cavern,2016,0,0,0
IL,salt cavern,2017,0,0,0
IL,salt cavern,2018,0,0,0
IL,salt cavern,2019,0,0,0
IL,salt cavern,2020,0,0,0
IL,salt cavern,2021,0,0,0
IL,salt cavern,2022,0,0,0
IN,aquifer,1999,23717839.6887497,0,23717839.6887497
IN,aquifer,2000,0,0,23717839.6887497
IN,aquifer,2001,0,9342022.91878528,14375816.7699645
IN,aquifer,2002,0,474176.155239664,13901640.6147248
IN,aquifer,2003,6499725.74274815,0,20401366.3574729
IN,aquifer,2004,0,0,20401366.3574729
IN,aquifer,2005,81287.3408982269,0,20482653.6983712
IN,aquifer,2006,0,37883.9150482491,20444769.7833229
IN,aquifer,2007,0,0,20444769.7833229
IN,aquifer,2008,272416.216677073,0,20717186
IN,aquifer,2009,0,633607,20083579
IN,aquifer,2010,72590,0,20156169
IN,aquifer,2011,43554,0,20199723
IN,aquifer,2012,0,273768,19925955
IN,aquifer,2013,0,0,19925955
IN,aquifer,2014,0,0,19925955
IN,aquifer,2015,863821,0,20789776
IN,aquifer,2016,0,0,20789776
IN,aquifer,2017,83997,0,20873773
IN,aquifer,2018,11407,0,20885180
IN,aquifer,2019,0,866932,20018248
IN,aquifer,2020,0,65331,19952917
IN,aquifer,2021,0,0,19952917
IN,aquifer,2022,0,0,19952917
IN,depleted field,1999,7835180.70241199,0,7835180.70241199
IN,depleted field,2000,0,0,7835180.70241199
IN,depleted field,2001,14930187.9587224,0,22765368.6611344
IN,depleted field,2002,599607.627255756,0,23364976.2883902
IN,depleted field,2003,0,9820305.74408238,13544670.5443078
IN,depleted field,2004,0,83919.8918482512,13460750.6524595
IN,depleted field,2005,150636.205867611,0,13611386.8583271
IN,depleted field,2006,153153.802623058,0,13764540.6609502
IN,depleted field,2007,0,0,13764540.6609502
IN,depleted field,2008,0,500273.660950193,13264267
IN,depleted field,2009,0,0,13264267
IN,depleted field,2010,781898,0,14046165
IN,depleted field,2011,0,0,14046165
IN,depleted field,2012,273768,0,14319933
IN,depleted field,2013,0,0,14319933
IN,depleted field,2014,0,0,14319933
IN,depleted field,2015,0,273768,14046165
IN,depleted field,2016,0,0,14046165
IN,depleted field,2017,406504,0,14452669
IN,depleted field,2018,0,1004853,13447816
IN,depleted field,2019,105774,0,13553590
IN,depleted field,2020,0,209474,13344116
IN,depleted field,2021,137921,0,13482037
IN,depleted field,2022,33184,0,13515221
IN,salt cavern,1999,0,0,0
IN,salt cavern,2000,0,0,0
IN,salt cavern,2001,0,0,0
IN,salt cavern,2002,0,0,0
IN,salt cavern,2003,0,0,0
IN,salt cavern,2004,0,0,0
IN,salt cavern,2005,0,0,0
IN,salt cavern,2006,0,0,0
IN,salt cavern,2007,0,0,0
