GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
CO,V,2012,24,511
CO,H,2012,564,12009
CO,D,2013,556,38076
CO,V,2013,8,518
CO,H,2013,178,12187
CO,D,2019,0,38076
CO,V,2019,0,518
CO,H,2019,0,12187
CO,D,2020,0,38076
CO,V,2020,0,518
CO,H,2020,0,12187
CO,D,2016,0,38076
CO,V,2016,0,518
CO,H,2016,0,12187
CO,D,2017,0,38076
CO,V,2017,0,518
CO,H,2017,0,12187
CO,D,2014,0,38076
CO,V,2014,0,518
CO,H,2014,0,12187
CO,D,2015,0,38076
CO,V,2015,0,518
CO,H,2015,0,12187
CO,D,2007,1785,20131
CO,V,2007,24,274
CO,H,2007,571,6443
CO,D,2005,4217,18345
CO,V,2005,57,250
CO,H,2005,1350,5872
CO,D,2006,0,18345
CO,V,2006,0,250
CO,H,2006,0,5872
FL,V,2019,0,6180
FL,D,2019,0,3959
FL,H,2019,0,40679
FL,V,2011,4,6179
FL,D,2011,2,3958
FL,H,2011,25,40675
FL,V,2012,0,6179
FL,D,2012,0,3958
FL,H,2012,0,40675
FL,V,2016,0,6180
FL,D,2016,0,3959
FL,H,2016,0,40679
FL,V,2013,0,6179
FL,D,2013,0,3958
FL,H,2013,0,40675
FL,V,2014,0,6180
FL,D,2014,0,3959
FL,H,2014,2,40678
FL,V,2015,0,6180
FL,D,2015,0,3959
FL,H,2015,1,40679
FL,V,2020,0,6180
FL,D,2020,0,3959
FL,H,2020,0,40679
FL,V,2018,0,6180
FL,D,2018,0,3959
FL,H,2018,0,40679
FL,V,2017,0,6180
FL,D,2017,0,3959
FL,H,2017,0,40679
ID,V,2020,0,5461
ID,D,2020,0,37673
ID,H,2020,0,7687
ID,V,2015,0,5461
ID,D,2015,2,37672
ID,H,2015,0,7687
ID,V,2019,0,5461
ID,D,2019,0,37673
ID,H,2019,0,7687
ID,V,2016,0,5461
ID,D,2016,0,37672
ID,H,2016,0,7687
ID,V,2017,0,5461
ID,D,2017,1,37673
ID,H,2017,0,7687
ID,V,2018,0,5461
ID,D,2018,0,37673
ID,H,2018,0,7687
IL,D,2013,0,782
IL,V,2013,0,3033
IL,H,2013,0,47041
IL,D,2010,0,782
IL,V,2010,0,3033
IL,H,2010,0,47041
IL,D,2005,0,781
IL,V,2005,1,3032
IL,H,2005,23,47033
IL,D,2020,0,782
IL,V,2020,0,3033
IL,H,2020,0,47043
IL,D,2018,0,782
IL,V,2018,0,3033
IL,H,2018,0,47043
IL,D,2008,0,781
IL,V,2008,0,3032
IL,H,2008,2,47035
