GAS_LINES,gas_line_gz1,gas_line_gz2,gas_line_length,gas_line_new_build_allowed,directional_gas_line_capital_cost_dmmbukm,general_gas_line_capital_cost_dmmbukm
MT_WY,MT,WY,567.380325,1,0.907592374,1.361388561
CO_WY,CO,WY,385.867399,1,0.907592374,1.361388561
IA_NE,IA,NE,366.5394759,1,0.907592374,1.361388561
CO_KS,CO,KS,765.6633427,1,0.907592374,1.361388561
KS_MO,KS,MO,370.8883877,1,0.907592374,1.361388561
IA_SD,IA,SD,537.6118006,1,0.907592374,1.361388561
IA_MO,IA,MO,398.5201187,1,0.907592374,1.361388561
ID_WY,ID,WY,681.8851773,1,0.987329171,1.480993757
MT_ND,MT,ND,910.4157402,1,0.907592374,1.361388561
CO_NE,CO,NE,693.9699741,1,0.907592374,1.361388561
MT_SD,MT,SD,1008.786328,1,0.907592374,1.361388561
NE_WY,NE,WY,821.0614708,1,0.907592374,1.361388561
KS_NE,KS,NE,310.4798359,1,0.907592374,1.361388561
ND_SD,ND,SD,371.9690446,1,0.907592374,1.361388561
AZ_CO,AZ,CO,907.0391788,1,0.987329171,1.480993757
SD_WY,SD,WY,665.0292317,1,0.907592374,1.361388561
MN_SD,MN,SD,450.1685495,1,1.164391766,1.746587649
ID_UT,ID,UT,503.4120243,1,0.987329171,1.480993757
CO_UT,CO,UT,581.5514734,1,0.907592374,1.361388561
MN_ND,MN,ND,502.0966546,1,1.164391766,1.746587649
IL_MO,IL,MO,456.1470268,1,1.164391766,1.746587649
AZ_UT,AZ,UT,782.9700025,1,0.987329171,1.480993757
UT_WY,UT,WY,481.3178789,1,0.907592374,1.361388561
MO_NE,MO,NE,533.9039615,1,0.907592374,1.361388561
NE_SD,NE,SD,345.0671052,1,0.907592374,1.361388561
NM_UT,NM,UT,808.1414855,1,0.906419774,1.359629661
ID_MT,ID,MT,416.9715272,1,0.987329171,1.480993757
NV_UT,NV,UT,528.4658811,1,0.987329171,1.480993757
AR_MO,AR,MO,367.5825415,1,0.906419774,1.359629661
KY_MO,KY,MO,612.7644775,1,0.936907373,1.405361059
IA_MN,IA,MN,365.2019298,1,1.164391766,1.746587649
IA_WI,IA,WI,382.3454125,1,1.164391766,1.746587649
IN_OH,IN,OH,298.5867594,1,1.421191159,2.131786738
MN_WI,MN,WI,397.1030407,1,1.421191159,2.131786738
KY_OH,KY,OH,362.7494582,1,1.193706765,1.790560148
IL_IN,IL,IN,219.3592597,1,1.421191159,2.131786738
IA_IL,IA,IL,394.4850436,1,1.164391766,1.746587649
IL_WI,IL,WI,276.2442036,1,1.421191159,2.131786738
MI_WI,MI,WI,401.541817,1,1.421191159,2.131786738
MI_OH,MI,OH,294.7186862,1,1.421191159,2.131786738
IN_MI,IN,MI,347.7517836,1,1.421191159,2.131786738
MA_NH,MA,NH,98.58425009,1,1.824565547,2.736848321
OH_WV,OH,WV,253.9901962,1,1.622878353,2.434317529
DC_MD,DC,MD,31.65576697,1,1.824565547,2.736848321
CT_RI,CT,RI,121.4381194,1,1.824565547,2.736848321
DE_MD,DE,MD,109.7734152,1,1.824565547,2.736848321
OH_PA,OH,PA,486.9329936,1,1.622878353,2.434317529
CT_MA,CT,MA,151.7088258,1,1.824565547,2.736848321
CT_NY,CT,NY,147.5460656,0,1.824565547,2.736848321
DE_NJ,DE,NJ,153.3996177,1,1.824565547,2.736848321
MD_VA,MD,VA,172.3921041,1,1.824565547,2.736848321
MA_RI,MA,RI,58.20709573,1,1.824565547,2.736848321
VA_WV,VA,WV,277.7496106,1,1.824565547,2.736848321
NY_VT,NY,VT,324.9270876,0,1.824565547,2.736848321
NH_VT,NH,VT,151.2623579,1,1.824565547,2.736848321
DC_VA,DC,VA,140.8927263,1,1.824565547,2.736848321
MA_NY,MA,NY,284.6555845,1,1.824565547,2.736848321
MD_PA,MD,PA,147.675085,1,1.824565547,2.736848321
NJ_PA,NJ,PA,218.903137,1,1.824565547,2.736848321
ME_NH,ME,NH,188.7506894,1,1.824565547,2.736848321
MA_VT,MA,VT,234.8322826,1,1.824565547,2.736848321
PA_WV,PA,WV,368.2490126,1,1.824565547,2.736848321
MD_WV,MD,WV,342.3505151,1,1.824565547,2.736848321
NC_VA,NC,VA,301.4572228,1,1.39539396,2.093090939
DE_PA,DE,PA,174.3831161,1,1.824565547,2.736848321
KY_VA,KY,VA,653.5847666,1,1.39539396,2.093090939
KY_WV,KY,WV,408.8116993,1,1.39539396,2.093090939
NJ_NY,NJ,NY,120.3023197,1,1.824565547,2.736848321
TN_VA,TN,VA,793.0202394,1,1.39539396,2.093090939
NY_PA,NY,PA,231.0076804,1,1.824565547,2.736848321
IL_KY,IL,KY,470.0018315,1,1.193706765,1.790560148
AL_FL,AL,FL,756.9661143,1,0.966222372,1.449333558
AL_MS,AL,MS,268.4348988,1,0.966222372,1.449333558
AL_TN,AL,TN,313.8528727,1,0.966222372,1.449333558
GA_SC,GA,SC,275.6282093,1,0.966222372,1.449333558
IN_KY,IN,KY,273.197624,1,1.193706765,1.790560148
MO_TN,MO,TN,595.0617699,1,0.936907373,1.405361059
KY_TN,KY,TN,245.3777304,1,0.966222372,1.449333558
LA_MS,LA,MS,277.3833646,1,0.935734773,1.403602159
AL_GA,AL,GA,270.0678901,1,0.966222372,1.449333558
NC_SC,NC,SC,209.633002,1,0.966222372,1.449333558
FL_GA,FL,GA,654.4096075,1,0.966222372,1.449333558
GA_NC,GA,NC,456.9605028,1,0.966222372,1.449333558
AR_MS,AR,MS,401.8291529,1,0.935734773,1.403602159
MS_TN,MS,TN,465.2146614,1,0.966222372,1.449333558
GA_TN,GA,TN,352.4806199,1,0.966222372,1.449333558
NC_TN,NC,TN,605.9915774,1,0.966222372,1.449333558
AR_TN,AR,TN,576.0706697,1,0.935734773,1.403602159
OK_TX,OK,TX,524.7733974,1,0.905247174,1.357870761
KS_OK,KS,OK,320.850462,1,0.906419774,1.359629661
MO_OK,MO,OK,518.0114429,1,0.906419774,1.359629661
CO_OK,CO,OK,857.1605082,1,0.906419774,1.359629661
LA_TX,LA,TX,559.9754395,1,0.905247174,1.357870761
NM_TX,NM,TX,937.61417,1,0.905247174,1.357870761
AR_TX,AR,TX,644.7959905,1,0.905247174,1.357870761
NM_OK,NM,OK,873.7357759,1,0.905247174,1.357870761
CO_NM,CO,NM,552.96532,1,0.906419774,1.359629661
AR_OK,AR,OK,382.5977306,1,0.905247174,1.357870761
AR_LA,AR,LA,503.3214455,1,0.905247174,1.357870761
AZ_NM,AZ,NM,527.1210949,1,0.986156571,1.479234857
OR_WA,OR,WA,297.4552629,1,1.067065969,1.600598954
CA_OR,CA,OR,1068.301982,1,1.067065969,1.600598954
AZ_CA,AZ,CA,727.5695506,1,1.067065969,1.600598954
NV_OR,NV,OR,1009.789824,1,1.067065969,1.600598954
ID_WA,ID,WA,606.489076,1,1.067065969,1.600598954
CA_NV,CA,NV,332.7244613,1,1.067065969,1.600598954
ID_NV,ID,NV,803.5478404,1,1.067065969,1.600598954
AZ_NV,AZ,NV,569.4899528,1,1.067065969,1.600598954
ID_OR,ID,OR,588.7100799,1,1.067065969,1.600598954
