GAS_LINES,gas_line_gz1,gas_line_gz2,gas_line_length,gas_line_new_build_allowed,directional_gas_line_capital_cost_dmmbukm,general_gas_line_capital_cost_dmmbukm
MT_WY,MT,WY,567.380325,0,0.907592374,1.361388561
CO_WY,CO,WY,385.867399,0,0.907592374,1.361388561
IA_NE,IA,NE,366.5394759,0,0.907592374,1.361388561
CO_KS,CO,KS,765.6633427,0,0.907592374,1.361388561
KS_MO,KS,MO,370.8883877,0,0.907592374,1.361388561
IA_SD,IA,SD,537.6118006,0,0.907592374,1.361388561
IA_MO,IA,MO,398.5201187,0,0.907592374,1.361388561
ID_WY,ID,WY,681.8851773,0,0.987329171,1.480993757
MT_ND,MT,ND,910.4157402,0,0.907592374,1.361388561
CO_NE,CO,NE,693.9699741,0,0.907592374,1.361388561
MT_SD,MT,SD,1008.786328,0,0.907592374,1.361388561
NE_WY,NE,WY,821.0614708,0,0.907592374,1.361388561
KS_NE,KS,NE,310.4798359,0,0.907592374,1.361388561
ND_SD,ND,SD,371.9690446,0,0.907592374,1.361388561
AZ_CO,AZ,CO,907.0391788,0,0.987329171,1.480993757
SD_WY,SD,WY,665.0292317,0,0.907592374,1.361388561
MN_SD,MN,SD,450.1685495,0,1.164391766,1.746587649
ID_UT,ID,UT,503.4120243,0,0.987329171,1.480993757
CO_UT,CO,UT,581.5514734,0,0.907592374,1.361388561
MN_ND,MN,ND,502.0966546,0,1.164391766,1.746587649
IL_MO,IL,MO,456.1470268,0,1.164391766,1.746587649
AZ_UT,AZ,UT,782.9700025,0,0.987329171,1.480993757
UT_WY,UT,WY,481.3178789,0,0.907592374,1.361388561
MO_NE,MO,NE,533.9039615,0,0.907592374,1.361388561
NE_SD,NE,SD,345.0671052,0,0.907592374,1.361388561
NM_UT,NM,UT,808.1414855,0,0.906419774,1.359629661
ID_MT,ID,MT,416.9715272,0,0.987329171,1.480993757
NV_UT,NV,UT,528.4658811,0,0.987329171,1.480993757
AR_MO,AR,MO,367.5825415,0,0.906419774,1.359629661
KY_MO,KY,MO,612.7644775,0,0.936907373,1.405361059
IA_MN,IA,MN,365.2019298,0,1.164391766,1.746587649
IA_WI,IA,WI,382.3454125,0,1.164391766,1.746587649
IN_OH,IN,OH,298.5867594,0,1.421191159,2.131786738
MN_WI,MN,WI,397.1030407,0,1.421191159,2.131786738
KY_OH,KY,OH,362.7494582,0,1.193706765,1.790560148
IL_IN,IL,IN,219.3592597,0,1.421191159,2.131786738
IA_IL,IA,IL,394.4850436,0,1.164391766,1.746587649
IL_WI,IL,WI,276.2442036,0,1.421191159,2.131786738
MI_WI,MI,WI,401.541817,0,1.421191159,2.131786738
MI_OH,MI,OH,294.7186862,0,1.421191159,2.131786738
IN_MI,IN,MI,347.7517836,0,1.421191159,2.131786738
MA_NH,MA,NH,98.58425009,0,1.824565547,2.736848321
OH_WV,OH,WV,253.9901962,0,1.622878353,2.434317529
DC_MD,DC,MD,31.65576697,0,1.824565547,2.736848321
CT_RI,CT,RI,121.4381194,0,1.824565547,2.736848321
DE_MD,DE,MD,109.7734152,0,1.824565547,2.736848321
OH_PA,OH,PA,486.9329936,0,1.622878353,2.434317529
CT_MA,CT,MA,151.7088258,0,1.824565547,2.736848321
CT_NY,CT,NY,147.5460656,0,1.824565547,2.736848321
DE_NJ,DE,NJ,153.3996177,0,1.824565547,2.736848321
MD_VA,MD,VA,172.3921041,0,1.824565547,2.736848321
MA_RI,MA,RI,58.20709573,0,1.824565547,2.736848321
VA_WV,VA,WV,277.7496106,0,1.824565547,2.736848321
NY_VT,NY,VT,324.9270876,0,1.824565547,2.736848321
NH_VT,NH,VT,151.2623579,0,1.824565547,2.736848321
DC_VA,DC,VA,140.8927263,0,1.824565547,2.736848321
MA_NY,MA,NY,284.6555845,0,1.824565547,2.736848321
MD_PA,MD,PA,147.675085,0,1.824565547,2.736848321
NJ_PA,NJ,PA,218.903137,0,1.824565547,2.736848321
ME_NH,ME,NH,188.7506894,0,1.824565547,2.736848321
MA_VT,MA,VT,234.8322826,0,1.824565547,2.736848321
PA_WV,PA,WV,368.2490126,0,1.824565547,2.736848321
MD_WV,MD,WV,342.3505151,0,1.824565547,2.736848321
NC_VA,NC,VA,301.4572228,0,1.39539396,2.093090939
DE_PA,DE,PA,174.3831161,0,1.824565547,2.736848321
KY_VA,KY,VA,653.5847666,0,1.39539396,2.093090939
KY_WV,KY,WV,408.8116993,0,1.39539396,2.093090939
NJ_NY,NJ,NY,120.3023197,0,1.824565547,2.736848321
TN_VA,TN,VA,793.0202394,0,1.39539396,2.093090939
NY_PA,NY,PA,231.0076804,0,1.824565547,2.736848321
IL_KY,IL,KY,470.0018315,0,1.193706765,1.790560148
AL_FL,AL,FL,756.9661143,0,0.966222372,1.449333558
AL_MS,AL,MS,268.4348988,0,0.966222372,1.449333558
AL_TN,AL,TN,313.8528727,0,0.966222372,1.449333558
GA_SC,GA,SC,275.6282093,0,0.966222372,1.449333558
IN_KY,IN,KY,273.197624,0,1.193706765,1.790560148
MO_TN,MO,TN,595.0617699,0,0.936907373,1.405361059
KY_TN,KY,TN,245.3777304,0,0.966222372,1.449333558
LA_MS,LA,MS,277.3833646,0,0.935734773,1.403602159
AL_GA,AL,GA,270.0678901,0,0.966222372,1.449333558
NC_SC,NC,SC,209.633002,0,0.966222372,1.449333558
FL_GA,FL,GA,654.4096075,0,0.966222372,1.449333558
GA_NC,GA,NC,456.9605028,0,0.966222372,1.449333558
AR_MS,AR,MS,401.8291529,0,0.935734773,1.403602159
MS_TN,MS,TN,465.2146614,0,0.966222372,1.449333558
GA_TN,GA,TN,352.4806199,0,0.966222372,1.449333558
NC_TN,NC,TN,605.9915774,0,0.966222372,1.449333558
