gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap
AR,MS,1996,0,0,9020863
AR,MS,1997,0,0,9020863
AR,MS,1998,0,0,9020863
AR,MS,1999,0,0,9020863
AR,MS,2000,0,264435,8756428
AR,MS,2001,0,0,8756428
AR,MS,2002,0,0,8756428
AR,MS,2003,0,0,8756428
AR,MS,2004,0,0,8756428
AR,MS,2005,0,0,8756428
AR,MS,2006,0,0,8756428
AR,MS,2007,0,0,8756428
AR,MS,2008,0,0,8756428
AR,MS,2009,1002779,0,9759207
AR,MS,2010,2074000,0,11833207
AR,MS,2011,0,0,11833207
AR,MS,2012,0,0,11833207
AR,MS,2013,0,0,11833207
AR,MS,2014,0,0,11833207
AR,MS,2015,0,0,11833207
AR,MS,2016,0,0,11833207
AR,MS,2017,0,0,11833207
AR,MS,2018,0,0,11833207
AR,MS,2019,0,0,11833207
AR,MS,2020,0,0,11833207
AR,MS,2021,0,0,11833207
AR,MS,2022,0,0,11833207
AR,OK,1990,20740,0,20740
AR,OK,1994,0,0,20740
AR,OK,1995,0,0,20740
AR,OK,1996,0,0,20740
AR,OK,1997,0,0,20740
AR,OK,1998,0,0,20740
AR,OK,1999,0,0,20740
AR,OK,2000,0,0,20740
AR,OK,2001,0,0,20740
AR,OK,2002,0,0,20740
AR,OK,2003,0,0,20740
AR,OK,2004,0,0,20740
AR,OK,2005,0,0,20740
AR,OK,2006,0,0,20740
AR,OK,2007,0,0,20740
AR,OK,2008,0,0,20740
AR,OK,2009,0,0,20740
AR,OK,2010,0,0,20740
AR,OK,2011,0,0,20740
AR,OK,2012,0,0,20740
AR,OK,2013,0,0,20740
AR,OK,2014,0,0,20740
AR,OK,2015,0,0,20740
AR,OK,2016,0,0,20740
AR,OK,2017,0,0,20740
AR,OK,2018,0,0,20740
AR,OK,2019,0,0,20740
AR,OK,2020,0,0,20740
AR,OK,2021,0,0,20740
AR,OK,2022,0,0,20740
AR,TX,1990,658495,0,658495
AR,TX,1994,119255,0,777750
AR,TX,1995,0,0,777750
AR,TX,1996,0,0,777750
AR,TX,1997,0,0,777750
AR,TX,1998,0,0,777750
AR,TX,1999,0,0,777750
AR,TX,2000,0,0,777750
AR,TX,2001,0,0,777750
AR,TX,2002,0,0,777750
AR,TX,2003,0,0,777750
AR,TX,2004,0,0,777750
AR,TX,2005,0,0,777750
AR,TX,2006,0,0,777750
AR,TX,2007,0,0,777750
AR,TX,2008,0,0,777750
AR,TX,2009,0,0,777750
AR,TX,2010,0,0,777750
AR,TX,2011,0,0,777750
AR,TX,2012,0,0,777750
AR,TX,2013,0,0,777750
AR,TX,2014,0,0,777750
AR,TX,2015,0,0,777750
AR,TX,2016,0,0,777750
AR,TX,2017,0,0,777750
AR,TX,2018,477020,0,1254770
AR,TX,2019,0,0,1254770
AR,TX,2020,0,0,1254770
AR,TX,2021,311100,0,1565870
AR,TX,2022,0,0,1565870
AZ,CA,1990,3608760,0,3608760
AZ,CA,1994,1394765,0,5003525
AZ,CA,1995,0,0,5003525
AZ,CA,1996,0,0,5003525
AZ,CA,1997,0,0,5003525
AZ,CA,1998,0,0,5003525
AZ,CA,1999,0,0,5003525
AZ,CA,2000,0,0,5003525
AZ,CA,2001,0,0,5003525
AZ,CA,2002,964410,0,5967935
AZ,CA,2003,0,0,5967935
AZ,CA,2004,0,0,5967935
AZ,CA,2005,520574,0,6488509
AZ,CA,2006,0,0,6488509
AZ,CA,2007,0,0,6488509
AZ,CA,2008,0,0,6488509
AZ,CA,2009,0,0,6488509
AZ,CA,2010,0,0,6488509
AZ,CA,2011,0,0,6488509
AZ,CA,2012,0,0,6488509
AZ,CA,2013,0,0,6488509
AZ,CA,2014,0,0,6488509
AZ,CA,2015,0,0,6488509
AZ,CA,2016,0,0,6488509
AZ,CA,2017,0,0,6488509
AZ,CA,2018,188734,0,6677243
AZ,CA,2019,0,0,6677243
AZ,CA,2020,342210,0,7019453
AZ,CA,2021,0,0,7019453
AZ,CA,2022,513315,0,7532768
AZ,NV,1990,171105,0,171105
AZ,NV,1994,0,0,171105
AZ,NV,1995,0,0,171105
AZ,NV,1996,0,0,171105
AZ,NV,1997,0,0,171105
AZ,NV,1998,0,0,171105
AZ,NV,1999,0,0,171105
AZ,NV,2000,0,0,171105
AZ,NV,2001,0,0,171105
AZ,NV,2002,0,0,171105
AZ,NV,2003,0,0,171105
AZ,NV,2004,0,0,171105
AZ,NV,2005,0,0,171105
AZ,NV,2006,0,0,171105
AZ,NV,2007,0,0,171105
AZ,NV,2008,0,0,171105
AZ,NV,2009,0,0,171105
AZ,NV,2010,0,0,171105
AZ,NV,2011,0,0,171105
AZ,NV,2012,0,0,171105
AZ,NV,2013,0,0,171105
AZ,NV,2014,0,0,171105
AZ,NV,2015,0,0,171105
AZ,NV,2016,0,0,171105
AZ,NV,2017,0,0,171105
AZ,NV,2018,0,0,171105
AZ,NV,2019,0,0,171105
AZ,NV,2020,0,0,171105
AZ,NV,2021,0,0,171105
AZ,NV,2022,0,0,171105
CA,AZ,1990,0,0,0
CA,AZ,1994,0,0,0
CA,AZ,1995,0,0,0
CA,AZ,1996,0,0,0
CA,AZ,1997,0,0,0
CA,AZ,1998,0,0,0
CA,AZ,1999,0,0,0
CA,AZ,2000,0,0,0
CA,AZ,2001,0,0,0
CA,AZ,2002,0,0,0
CA,AZ,2003,0,0,0
CA,AZ,2004,0,0,0
CA,AZ,2005,0,0,0
CA,AZ,2006,0,0,0
CA,AZ,2007,636718,0,636718
CA,AZ,2008,0,0,636718
CA,AZ,2009,0,0,636718
CA,AZ,2010,83997,0,720715
CA,AZ,2011,0,0,720715
CA,AZ,2012,0,0,720715
CA,AZ,2013,0,0,720715
CA,AZ,2014,0,0,720715
CA,AZ,2015,0,0,720715
CA,AZ,2016,0,0,720715
CA,AZ,2017,0,0,720715
CA,AZ,2018,0,0,720715
CA,AZ,2019,0,0,720715
CA,AZ,2020,0,0,720715
CA,AZ,2021,0,0,720715
CA,AZ,2022,0,0,720715
CA,NV,1990,0,0,0
CA,NV,1994,0,0,0
CA,NV,1995,111996,0,111996
CA,NV,1996,0,0,111996
CA,NV,1997,0,0,111996
CA,NV,1998,0,0,111996
CA,NV,1999,0,0,111996
CA,NV,2000,0,0,111996
CA,NV,2001,0,0,111996
CA,NV,2002,55998,0,167994
CA,NV,2003,0,0,167994
CA,NV,2004,0,0,167994
CA,NV,2005,0,0,167994
CA,NV,2006,0,0,167994
CA,NV,2007,0,0,167994
CA,NV,2008,0,0,167994
CA,NV,2009,0,0,167994
CA,NV,2010,0,0,167994
CA,NV,2011,0,0,167994
CA,NV,2012,0,0,167994
CA,NV,2013,0,0,167994
CA,NV,2014,0,0,167994
CA,NV,2015,0,0,167994
CA,NV,2016,0,0,167994
CA,NV,2017,0,0,167994
CA,NV,2018,0,0,167994
CA,NV,2019,0,0,167994
CA,NV,2020,0,0,167994
CA,NV,2021,15555,0,183549
CA,NV,2022,0,0,183549
CO,KS,1990,435540,0,435540
CO,KS,1994,31110,0,466650
CO,KS,1995,0,0,466650
CO,KS,1996,0,0,466650
CO,KS,1997,31110,0,497760
CO,KS,1998,0,0,497760
CO,KS,1999,0,0,497760
CO,KS,2000,89182,0,586942
CO,KS,2001,0,0,586942
CO,KS,2002,0,0,586942
CO,KS,2003,0,0,586942
CO,KS,2004,580720,0,1167662
CO,KS,2005,284138,0,1451800
CO,KS,2006,0,0,1451800
CO,KS,2007,30073,0,1481873
CO,KS,2008,93330,0,1575203
CO,KS,2009,0,0,1575203
CO,KS,2010,0,0,1575203
CO,KS,2011,0,0,1575203
CO,KS,2012,0,0,1575203
CO,KS,2013,0,0,1575203
CO,KS,2014,0,0,1575203
CO,KS,2015,0,0,1575203
CO,KS,2016,0,0,1575203
CO,KS,2017,0,0,1575203
CO,KS,2018,0,0,1575203
CO,KS,2019,0,0,1575203
CO,KS,2020,0,0,1575203
CO,KS,2021,0,0,1575203
CO,KS,2022,0,0,1575203
CO,NE,1990,442799,0,442799
CO,NE,1994,0,0,442799
CO,NE,1995,0,0,442799
CO,NE,1996,0,0,442799
CO,NE,1997,497760,0,940559
CO,NE,1998,0,0,940559
CO,NE,1999,0,0,940559
CO,NE,2000,0,0,940559
CO,NE,2001,0,0,940559
CO,NE,2002,335988,0,1276547
CO,NE,2003,0,0,1276547
CO,NE,2004,64294,0,1340841
CO,NE,2005,0,0,1340841
CO,NE,2006,0,0,1340841
CO,NE,2007,0,0,1340841
CO,NE,2008,1555500,0,2896341
CO,NE,2009,311100,0,3207441
CO,NE,2010,0,0,3207441
CO,NE,2011,0,0,3207441
CO,NE,2012,0,0,3207441
CO,NE,2013,0,0,3207441
CO,NE,2014,0,264435,2943006
CO,NE,2015,0,0,2943006
CO,NE,2016,0,0,2943006
CO,NE,2017,0,0,2943006
CO,NE,2018,0,0,2943006
CO,NE,2019,0,0,2943006
CO,NE,2020,0,0,2943006
CO,NE,2021,0,0,2943006
CO,NE,2022,0,0,2943006
CO,NM,1990,614941,0,614941
CO,NM,1994,402356,0,1017297
CO,NM,1995,54961,0,1072258
CO,NM,1996,255102,0,1327360
CO,NM,1997,0,0,1327360
CO,NM,1998,145180,0,1472540
CO,NM,1999,311100,0,1783640
CO,NM,2000,0,0,1783640
CO,NM,2001,0,0,1783640
CO,NM,2002,0,0,1783640
CO,NM,2003,0,0,1783640
CO,NM,2004,282064,0,2065704
CO,NM,2005,0,0,2065704
CO,NM,2006,0,0,2065704
CO,NM,2007,0,0,2065704
CO,NM,2008,0,0,2065704
CO,NM,2009,0,0,2065704
CO,NM,2010,0,0,2065704
CO,NM,2011,0,0,2065704
CO,NM,2012,0,0,2065704
CO,NM,2013,0,0,2065704
CO,NM,2014,0,0,2065704
CO,NM,2015,0,0,2065704
CO,NM,2016,0,0,2065704
CO,NM,2017,0,0,2065704
CO,NM,2018,0,0,2065704
CO,NM,2019,0,0,2065704
CO,NM,2020,0,0,2065704
CO,NM,2021,0,0,2065704
CO,NM,2022,0,0,2065704
CO,OK,1990,207400,0,207400
CO,OK,1994,51850,0,259250
CO,OK,1995,0,0,259250
CO,OK,1996,0,0,259250
CO,OK,1997,0,0,259250
CO,OK,1998,0,0,259250
CO,OK,1999,0,0,259250
CO,OK,2000,0,0,259250
CO,OK,2001,86071,0,345321
CO,OK,2002,49776,0,395097
CO,OK,2003,0,0,395097
CO,OK,2004,0,0,395097
CO,OK,2005,107848,0,502945
CO,OK,2006,0,0,502945
CO,OK,2007,30073,0,533018
CO,OK,2008,0,0,533018
CO,OK,2009,0,0,533018
CO,OK,2010,0,0,533018
CO,OK,2011,0,0,533018
CO,OK,2012,0,0,533018
CO,OK,2013,0,0,533018
CO,OK,2014,0,0,533018
CO,OK,2015,0,0,533018
CO,OK,2016,0,0,533018
CO,OK,2017,0,0,533018
CO,OK,2018,0,0,533018
CO,OK,2019,0,0,533018
CO,OK,2020,0,0,533018
CO,OK,2021,0,0,533018
CO,OK,2022,0,0,533018
CO,UT,1990,428281,0,428281
CO,UT,1994,0,0,428281
CO,UT,1995,0,0,428281
CO,UT,1996,0,0,428281
CO,UT,1997,0,0,428281
CO,UT,1998,0,0,428281
CO,UT,1999,0,0,428281
CO,UT,2000,0,0,428281
CO,UT,2001,0,0,428281
CO,UT,2002,0,0,428281
CO,UT,2003,0,0,428281
CO,UT,2004,0,0,428281
CO,UT,2005,0,0,428281
CO,UT,2006,0,0,428281
CO,UT,2007,0,0,428281
CO,UT,2008,0,0,428281
CO,UT,2009,0,0,428281
CO,UT,2010,155550,0,583831
CO,UT,2011,0,0,583831
CO,UT,2012,0,0,583831
CO,UT,2013,0,0,583831
CO,UT,2014,0,0,583831
CO,UT,2015,0,0,583831
CO,UT,2016,0,0,583831
CO,UT,2017,0,0,583831
CO,UT,2018,0,0,583831
CO,UT,2019,0,0,583831
CO,UT,2020,0,0,583831
CO,UT,2021,0,0,583831
CO,UT,2022,0,0,583831
CO,WY,1990,463539,0,463539
CO,WY,1994,309026,0,772565
CO,WY,1995,0,0,772565
CO,WY,1996,0,0,772565
CO,WY,1997,108885,0,881450
CO,WY,1998,0,0,881450
CO,WY,1999,0,0,881450
CO,WY,2000,0,0,881450
CO,WY,2001,0,0,881450
CO,WY,2002,335988,0,1217438
CO,WY,2003,0,0,1217438
CO,WY,2004,0,0,1217438
CO,WY,2005,0,0,1217438
CO,WY,2006,1131367,0,2348805
CO,WY,2007,674050,0,3022855
CO,WY,2008,1555500,0,4578355
CO,WY,2009,311100,0,4889455
CO,WY,2010,0,0,4889455
CO,WY,2011,0,0,4889455
CO,WY,2012,0,0,4889455
CO,WY,2013,0,0,4889455
CO,WY,2014,0,0,4889455
CO,WY,2015,0,0,4889455
CO,WY,2016,0,0,4889455
CO,WY,2017,0,0,4889455
CO,WY,2018,0,0,4889455
CO,WY,2019,0,0,4889455
CO,WY,2020,0,0,4889455
CO,WY,2021,0,0,4889455
CO,WY,2022,0,0,4889455
CT,MA,1990,82960,0,82960
CT,MA,1994,0,0,82960
CT,MA,1995,0,0,82960
CT,MA,1996,0,0,82960
CT,MA,1997,0,0,82960
CT,MA,1998,0,0,82960
CT,MA,1999,0,0,82960
CT,MA,2000,0,0,82960
CT,MA,2001,0,0,82960
CT,MA,2002,0,0,82960
CT,MA,2003,0,0,82960
CT,MA,2004,0,0,82960
CT,MA,2005,0,0,82960
CT,MA,2006,0,0,82960
CT,MA,2007,0,0,82960
CT,MA,2008,0,0,82960
CT,MA,2009,0,0,82960
CT,MA,2010,0,0,82960
CT,MA,2011,0,0,82960
CT,MA,2012,0,0,82960
CT,MA,2013,0,0,82960
CT,MA,2014,0,0,82960
CT,MA,2015,0,0,82960
CT,MA,2016,0,0,82960
CT,MA,2017,0,0,82960
CT,MA,2018,0,0,82960
CT,MA,2019,0,0,82960
CT,MA,2020,0,0,82960
CT,MA,2021,46665,0,129625
CT,MA,2022,0,0,129625
CT,NY,1990,0,0,0
CT,NY,1994,259250,0,259250
CT,NY,1995,0,0,259250
CT,NY,1996,0,0,259250
CT,NY,1997,0,0,259250
CT,NY,1998,36295,0,295545
CT,NY,1999,0,0,295545
CT,NY,2000,0,0,295545
CT,NY,2001,0,0,295545
CT,NY,2002,81923,0,377468
CT,NY,2003,0,0,377468
CT,NY,2004,58072,0,435540
CT,NY,2005,0,0,435540
CT,NY,2006,0,0,435540
CT,NY,2007,0,0,435540
CT,NY,2008,103700,0,539240
CT,NY,2009,103700,0,642940
CT,NY,2010,285175,0,928115
CT,NY,2011,0,0,928115
CT,NY,2012,0,0,928115
CT,NY,2013,0,0,928115
CT,NY,2014,0,0,928115
CT,NY,2015,0,0,928115
CT,NY,2016,0,0,928115
CT,NY,2017,0,0,928115
CT,NY,2018,0,0,928115
CT,NY,2019,0,0,928115
CT,NY,2020,0,0,928115
CT,NY,2021,0,0,928115
CT,NY,2022,0,0,928115
CT,RI,1990,689605,0,689605
CT,RI,1994,98515,0,788120
CT,RI,1995,0,0,788120
CT,RI,1996,0,0,788120
CT,RI,1997,0,0,788120
CT,RI,1998,0,0,788120
